epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,752614.0,557483.0,195131.0,4455,3298,1157,0.2592710207357287,0.6026814607549347,0.39697006059438744,0.1686570576020971,0.8470938180755131,0.12939003260635573,0,0.0,0,0.05849609375,115679.0,0.0,336,0.6026814607549347,116056.0,70290.0,334,0.5926795737257252,98880.0,57861.0,334,0.40561617626945057,74028.0,16548.0,334,0.5295480599743214,98705.0,45344.0,335,0.311865234375,76448.0,0.0,332,0.35148521403066785,54192.0,5088.0,334,0.323388671875,118626.0,0.0,335
11,731388.0,500648.0,230740.0,4239,2827,1412,0.31548234316122176,0.5680941439380944,0.42589607856548106,0.15678328461881727,0.8806564976689774,0.10339758103769792,0,0.0,0,0.08271484374999999,118220.0,0.0,340,0.4836078664634307,93191.0,34203.0,338,0.5362979352304297,89465.0,42307.0,332,0.27919921875,63593.0,0.0,338,0.4239584977870123,80166.0,19898.0,334,0.4659551184804487,84261.0,27424.0,334,0.5673410041244329,84235.0,44932.0,335,0.5680941439380944,118257.0,61976.0,334
12,723239.0,481935.0,241304.0,4142,2707,1435,0.3336435120340574,0.6369332765614243,0.4256442711130156,0.16913421932902145,0.8636358950672399,0.12115998307613363,0,0.0,0,0.065478515625,102986.0,0.0,334,0.5552392398407547,106504.0,54368.0,335,0.5124148992298072,86180.0,36595.0,331,0.3206795733099877,82100.0,1760.0,335,0.32728567465476993,69700.0,4600.0,328,0.4824448345661712,80032.0,29578.0,334,0.5046781551162101,66150.0,27066.0,334,0.6369332765614243,129587.0,87337.0,328
13,689245.0,445380.0,243865.0,4351,2800,1551,0.35381468128169175,0.6064286510324794,0.4448594884712115,0.15006338988502127,0.8978353840521618,0.13468596072514116,0,0.0,0,0.11748046875,111664.0,0.0,334,0.6064286510324794,119085.0,73017.0,340,0.5163971554219418,81554.0,35320.0,333,0.31051096354249885,62563.0,2140.0,331,0.4303476336075013,74528.0,20892.0,335,0.4940926989962674,75235.0,29668.0,331,0.5081164143169957,61303.0,25660.0,326,0.5755019221020077,103313.0,57168.0,336
14,713077.0,495861.0,217216.0,4079,2722,1357,0.3046178743670034,0.5548734455120123,0.4220922705176182,0.13940514623767933,0.9016486855977952,0.12335151042594261,0,0.0,0,0.12646484375,115108.0,0.0,334,0.5486367560079556,108775.0,54314.0,331,0.5548734455120123,99460.0,50680.0,333,0.4376328037333139,84660.0,23428.0,329,0.277294921875,66059.0,0.0,334,0.4387629503892871,71348.0,20428.0,333,0.46603261417939096,61942.0,20472.0,334,0.5270398286939858,105725.0,47894.0,335
15,727881.0,492889.0,234992.0,4218,2713,1505,0.3228439813650853,0.5854602498712471,0.42938791490105854,0.1583231246861189,0.8803180448205389,0.10627853316682234,0,0.0,0,0.13701171874999998,113730.0,0.0,336,0.4937646085402243,101824.0,39420.0,332,0.5816582875955711,94037.0,53193.0,331,0.30413089472168003,70728.0,1724.0,334,0.27275390625,66967.0,0.0,336,0.49259615627564723,81629.0,31124.0,330,0.5854602498712471,84345.0,48179.0,330,0.5677274972040987,114621.0,61352.0,334
16,718721.0,480810.0,237911.0,4187,2609,1578,0.331019964631616,0.6504013371025295,0.4148603322297677,0.16426829134395787,0.864465104511434,0.15823438441342308,9,0.0,0,0.11762695312499999,95769.0,0.0,334,0.5651846018915783,110369.0,58892.0,327,0.5239633678678085,89929.0,40185.0,335,0.28212890625,65407.0,0.0,330,0.29155273437499996,78880.0,0.0,334,0.4051382965326505,74942.0,15700.0,338,0.482886460693575,58036.0,21245.0,330,0.6504013371025295,145389.0,101889.0,340
17,751707.0,513169.0,238538.0,4557,3076,1481,0.3173284271664354,0.583662812575125,0.4421911206639936,0.13531697197436926,0.9143735098159581,0.12052418695050049,0,0.0,0,0.189892578125,127452.0,0.0,334,0.47840605454644536,102466.0,36391.0,335,0.5600716632178773,91563.0,47608.0,332,0.286279296875,70337.0,0.0,334,0.37514243689373805,83916.0,12136.0,332,0.5685111367846138,98981.0,53184.0,337,0.4955629862941495,63643.0,24880.0,335,0.583662812575125,113349.0,64339.0,337
18,703665.0,459563.0,244102.0,4265,2761,1504,0.3469008690214799,0.6268452369899947,0.4532415908455082,0.13595020909971425,0.9174560027182559,0.10979638748552212,0,0.0,0,0.1978515625,110182.0,0.0,334,0.5522235186281321,105957.0,53429.0,336,0.6268452369899947,100980.0,66128.0,336,0.275390625,62292.0,0.0,335,0.4579556355446917,84699.0,26228.0,334,0.46880211683000317,75023.0,25416.0,331,0.5452408506635491,67440.0,33493.0,337,0.5016231806076947,97092.0,39408.0,333
19,726516.0,542874.0,183642.0,4115,3005,1110,0.25277075797367127,0.5775495121570713,0.4182779600609068,0.11109119585995242,0.934108889545537,0.13867278903699276,0,0.0,0,0.263427734375,134355.0,0.0,334,0.5775495121570713,110729.0,61498.0,336,0.4793160844842466,85041.0,30432.0,331,0.286865234375,79076.0,0.0,329,0.3146130527646839,65342.0,3288.0,334,0.4052671886427078,73154.0,15380.0,337,0.5295510572283031,69214.0,31560.0,331,0.48963381646024184,109605.0,41484.0,337
20,705542.0,491469.0,214073.0,4042,2737,1305,0.303416380598178,0.568384304655052,0.43555621229523145,0.1137661441548982,0.9361331800929606,0.13725476300489525,0,0.0,0,0.26718749999999997,116457.0,0.0,334,0.568384304655052,113170.0,60724.0,329,0.5562693775968589,94826.0,48602.0,334,0.269677734375,65083.0,0.0,333,0.39905047448099706,80756.0,15848.0,333,0.5348281564003522,85215.0,40571.0,332,0.3991679633417421,49837.0,9865.0,333,0.4898841875118496,100198.0,38463.0,331
21,692684.0,490230.0,202454.0,3894,2656,1238,0.2922746880251308,0.6003284886713494,0.4228815715949107,0.1302596943327839,0.9133406590725666,0.14922352761143598,0,0.0,0,0.2865234375,116592.0,0.0,331,0.5926699415885042,105020.0,61657.0,332,0.6003284886713494,106853.0,64182.0,335,0.25810546875,66728.0,0.0,332,0.35652593618343076,72632.0,7892.0,334,0.3008940175776313,55422.0,2080.0,335,0.48216935785257176,60122.0,21940.0,334,0.5058359246357983,109315.0,44703.0,334
22,697491.0,510796.0,186695.0,4098,2799,1299,0.26766653619903297,0.5831696541658963,0.4211996908371666,0.11841754588660168,0.9267482819010489,0.09572399500495332,0,0.0,0,0.2818359375,107274.0,0.0,333,0.3915567298768434,90947.0,17000.0,337,0.5831696541658963,101775.0,57669.0,336,0.26494140625,70420.0,0.0,333,0.5003285368590181,86830.0,35018.0,338,0.30190429687500003,67020.0,0.0,334,0.5273331361120903,71389.0,32500.0,329,0.518527829058484,101836.0,44508.0,330
23,677115.0,503518.0,173597.0,3948,2960,988,0.25637742480967,0.6103848269594101,0.4176164551998325,0.0893784062468203,0.9562014815348536,0.16785054975890334,0,0.0,0,0.3803252300106536,121725.0,16096.0,335,0.4128811650807967,93853.0,20996.0,333,0.4489197619950336,65772.0,19840.0,337,0.28955078125,77812.0,0.0,334,0.34467352080778124,72566.0,6356.0,334,0.4621274566660555,74907.0,23872.0,333,0.39206889882892937,45047.0,8572.0,334,0.6103848269594101,125433.0,77865.0,335
24,690629.0,435013.0,255616.0,4161,2762,1399,0.3701205712473696,0.5799524656873842,0.4685029962575675,0.09658129432449031,0.9592351019401097,0.125322894057446,0,0.0,0,0.5799524656873842,121220.0,67848.0,330,0.5793045699741298,108171.0,60457.0,328,0.47373303865131355,76665.0,26631.0,338,0.29301757812499996,75060.0,0.0,328,0.39593544530782904,80304.0,15408.0,337,0.5593495342282071,84730.0,43908.0,335,0.39390235333950824,52955.0,9728.0,336,0.4728289847471682,91524.0,31636.0,337
25,738883.0,427682.0,311201.0,4528,2678,1850,0.4211776424684281,0.6038630010149364,0.49830782726743283,0.09666511892595825,0.9637338643453242,0.0999287099581394,0,0.0,0,0.4947760019114313,112947.0,44098.0,334,0.5489936262268758,111933.0,55774.0,328,0.4799270377564081,76379.0,27448.0,336,0.29360351562500003,73096.0,0.0,334,0.5565940369473404,93141.0,47908.0,334,0.41683792571589556,72802.0,17332.0,339,0.5918674729415749,86263.0,50380.0,332,0.6038630010149364,112322.0,68261.0,333
26,686467.0,495037.0,191430.0,3711,2593,1118,0.27886264015604495,0.5409862218136132,0.43785240807483783,0.07289975526859213,0.9730274655721,0.0970481829425156,0,0.0,0,0.39104297316906833,113146.0,20536.0,333,0.48651004297228273,103886.0,38782.0,328,0.47345187358216473,78024.0,27684.0,336,0.283154296875,69262.0,0.0,333,0.4464745997021191,85815.0,25240.0,328,0.47247013341936195,79211.0,27091.0,335,0.5409862218136132,67608.0,32605.0,335,0.4087291230650926,89515.0,19492.0,328
27,739411.0,443451.0,295960.0,4330,2711,1619,0.4002645348797889,0.5991470023789023,0.48691201745640716,0.09078550100559891,0.9664037645601459,0.1151857694840892,0,0.0,0,0.56180948381625,121449.0,63593.0,334,0.5991470023789023,121583.0,72778.0,337,0.4336614902734185,80636.0,21170.0,335,0.291943359375,77216.0,0.0,331,0.4854551050040504,90684.0,33981.0,337,0.446866202047581,76456.0,22592.0,330,0.5356328224467953,68725.0,32428.0,330,0.54078067430926,102662.0,49418.0,330
28,683135.0,472638.0,210497.0,3863,2694,1169,0.3081338242075134,0.5308049586316117,0.44646841654472713,0.07921803723539048,0.9694785694067387,0.10946902881568055,0,0.0,0,0.48579981676088463,113078.0,42086.0,333,0.46604041976242716,98118.0,33273.0,332,0.5308049586316117,86328.0,39833.0,335,0.29135742187499997,71101.0,0.0,335,0.3585821745709268,76342.0,8788.0,339,0.41628223389437885,75521.0,17475.0,340,0.5079736208331926,60733.0,25238.0,337,0.5149066860293952,101914.0,43804.0,335
29,726647.0,414105.0,312542.0,4668,2653,2015,0.4301153104602366,0.589022180692943,0.5135829494911698,0.06192642791579092,0.9856694726403995,0.05579961797131183,0,0.0,0,0.3897073426704082,94075.0,18036.0,335,0.473683784318659,95848.0,32892.0,335,0.5554931865265686,89118.0,46478.0,331,0.469152405776934,80988.0,26932.0,331,0.533840507600849,92097.0,43099.0,329,0.5222559437711032,86321.0,38396.0,333,0.5755082445718932,78112.0,43041.0,331,0.589022180692943,110088.0,63668.0,331
30,700374.0,484002.0,216372.0,3973,2671,1302,0.30893779609180194,0.5857595382232825,0.4452549724684616,0.09456500162850671,0.9568398859459017,0.1136824753631629,0,0.0,0,0.41918318661050546,119450.0,27493.0,331,0.5147621203121784,97860.0,42836.0,334,0.4436884824256101,75785.0,21246.0,328,0.3009096665541875,75940.0,64.0,332,0.3334127517076983,70270.0,5684.0,336,0.4106888114677862,66877.0,15001.0,332,0.5857595382232825,85236.0,48714.0,336,0.5536352224464439,108956.0,55334.0,337
31,694690.0,457631.0,237059.0,3876,2534,1342,0.3412442960169279,0.5810464879428836,0.43983432920600896,0.10708286157693965,0.9440431162286498,0.17851595675769016,0,0.0,0,0.5810464879428836,133570.0,75744.0,333,0.5755441600212421,126152.0,68831.0,338,0.3248624927386642,62779.0,3324.0,334,0.4214592236514866,70068.0,19012.0,334,0.302001953125,78426.0,0.0,339,0.3202740032486025,54408.0,3832.0,333,0.5017456373525071,65852.0,26590.0,331,0.4917406755676855,103435.0,39726.0,341
32,754881.0,454232.0,300649.0,4715,2786,1929,0.3982733702398121,0.6124619627640338,0.48341815918656034,0.10341248821553896,0.9562409973322562,0.11308454577608895,0,0.0,0,0.41920274020782144,107688.0,26052.0,332,0.610893444111291,134240.0,83508.0,338,0.5549074650373083,89886.0,45676.0,329,0.41657344271166374,87544.0,19436.0,334,0.4562219856107599,80593.0,25047.0,337,0.289453125,61324.0,0.0,333,0.6124619627640338,97974.0,61255.0,333,0.5076311080496047,95632.0,39675.0,327
33,675828.0,487277.0,188551.0,3729,2743,986,0.2789925839118825,0.5489184244352936,0.43971503507711374,0.08135624422041239,0.9669005365570983,0.09022118053705941,0,0.0,0,0.29282226562499997,103312.0,0.0,338,0.4590465527596447,95062.0,30220.0,335,0.37490516951348035,67667.0,10124.0,337,0.36511879072789927,76652.0,9968.0,337,0.5489184244352936,87557.0,43572.0,332,0.49346417390000796,89444.0,33272.0,333,0.4692424253049997,61270.0,20727.0,337,0.5142024783505839,94864.0,40668.0,335
34,686987.0,430391.0,256596.0,4171,2713,1458,0.3735092512667628,0.6317864970419,0.4635578810521597,0.09564242352245354,0.9591691510441761,0.1727658238074372,0,0.0,0,0.48151826141072596,119208.0,42136.0,341,0.5180905369837845,106763.0,46568.0,333,0.4744274149596542,75229.0,26244.0,333,0.5150342042372292,75580.0,32416.0,332,0.31369761915305,67749.0,1856.0,331,0.43501799262030416,76373.0,20616.0,332,0.33889052201062986,40413.0,3392.0,337,0.6317864970419,125672.0,83368.0,337
35,687835.0,433437.0,254398.0,3810,2417,1393,0.3698532351508714,0.5572821944604684,0.4565769950248402,0.08596935936612111,0.9657603967957077,0.17780408818975468,0,0.0,0,0.468639294899252,112932.0,38652.0,331,0.5572821944604684,119705.0,61631.0,336,0.4229721653682138,63088.0,16200.0,336,0.47231116602452733,82472.0,29364.0,332,0.5103582867323693,97101.0,40852.0,334,0.40203489333320297,77496.0,15860.0,330,0.273193359375,29602.0,0.0,337,0.5458246000056881,105439.0,51839.0,338
36,696175.0,468362.0,227813.0,3873,2682,1191,0.32723524975760354,0.613840510190139,0.4267799913101289,0.11619110740257871,0.9309943387335312,0.1855982691133693,0,0.0,0,0.5142301831424466,123722.0,52720.0,332,0.613840510190139,133815.0,83967.0,337,0.5142341315723962,80122.0,35120.0,324,0.3139671805776989,70876.0,1440.0,331,0.3161712181445646,71333.0,3352.0,336,0.3449693570109759,59307.0,6168.0,333,0.287841796875,49227.0,0.0,330,0.50898555296781,107773.0,45046.0,338
37,730081.0,464170.0,265911.0,4279,2863,1416,0.3642212302470543,0.5672536593089457,0.47075431492565833,0.08348840400049876,0.9695060132587809,0.1063681632585971,0,0.0,0,0.5672536593089457,131903.0,70516.0,337,0.5327440280641007,106019.0,49568.0,333,0.41440946263622924,75240.0,16702.0,333,0.449484899248052,76568.0,23228.0,334,0.296826171875,76771.0,0.0,332,0.44156376208105086,78739.0,21555.0,332,0.5176344852527814,84054.0,34731.0,327,0.5461180509391068,100787.0,49611.0,337
38,743600.0,429997.0,313603.0,4359,2580,1779,0.4217361484669171,0.6410017832726771,0.48925999705524914,0.10424304492588449,0.9565755776736073,0.14595784023668612,0,0.0,0,0.4938914400947519,119237.0,46273.0,336,0.49159424009956226,99358.0,37937.0,335,0.43477859369786265,71928.0,19473.0,331,0.28110351562499997,63977.0,0.0,332,0.46687287958942303,91862.0,30829.0,333,0.6198866966204306,102380.0,65500.0,334,0.4849508274422855,62206.0,23083.0,341,0.6410017832726771,132652.0,90508.0,334
39,709227.0,429931.0,279296.0,4296,2610,1686,0.3938033943998178,0.5924749619344749,0.4712160312501063,0.11774736815030774,0.9412296976337122,0.14204390836784242,0,0.0,0,0.578102702444401,127278.0,70830.0,332,0.5598393915035604,102440.0,53506.0,337,0.4253445832281745,73303.0,18319.0,331,0.28281249999999997,72303.0,0.0,329,0.2888671875,65605.0,0.0,330,0.5445557997719009,82394.0,40324.0,339,0.49773112361833866,65501.0,25852.0,333,0.5924749619344749,120403.0,70465.0,333
40,667906.0,447884.0,220022.0,3822,2684,1138,0.3294206070914165,0.5827368765866803,0.4554175407816727,0.07480801867512835,0.9737267440449304,0.11849609076726342,0,0.0,0,0.5192560620205875,118896.0,52416.0,328,0.4098737977110839,82135.0,19589.0,337,0.4112730099341727,72540.0,16271.0,340,0.3490269708479067,74762.0,7265.0,335,0.4710569073734594,95603.0,31288.0,334,0.3835738035364615,55412.0,10512.0,339,0.5827368765866803,73266.0,41430.0,330,0.5165428982430297,95292.0,41251.0,333
41,709347.0,463089.0,246258.0,4069,2572,1497,0.3471615443499439,0.5927402508846896,0.44780655057826013,0.1230328934001145,0.9298129210709111,0.1314432499185869,0,0.0,0,0.5927402508846896,137230.0,81431.0,336,0.33255355222771427,90328.0,4796.0,328,0.5497167108649189,91173.0,45428.0,332,0.28798828125,72410.0,0.0,333,0.49549865208411115,85456.0,34064.0,333,0.2794921875,50104.0,0.0,332,0.5900464956087448,87105.0,50529.0,332,0.45441627420590214,95541.0,30010.0,338
42,683369.0,492337.0,191032.0,3719,2709,1010,0.27954443353444436,0.542848156576046,0.4259858275255762,0.09263411631915885,0.9548471188072629,0.10090101394707673,0,0.0,0,0.542848156576046,122873.0,59031.0,329,0.48834760790635123,93730.0,37120.0,336,0.4710433676305269,80959.0,27695.0,336,0.290185546875,74993.0,0.0,333,0.37449302530160744,74600.0,12076.0,330,0.30244140625,66928.0,0.0,333,0.5362348366822429,75099.0,35482.0,334,0.4022926729828349,94187.0,19628.0,328
43,729991.0,469385.0,260606.0,4315,2866,1449,0.3569989219045161,0.5702728145711875,0.4721048594297892,0.07474021042458902,0.9755498702699394,0.10912617415831138,0,0.0,0,0.539420844109208,123274.0,59426.0,330,0.4470485902897423,102142.0,28723.0,330,0.5702728145711875,91961.0,49763.0,337,0.3418371147098196,72636.0,5716.0,328,0.3803999419250931,78939.0,12015.0,332,0.5333700699815851,93279.0,42699.0,331,0.46560070279476184,64348.0,21331.0,335,0.498888797056916,103412.0,40933.0,334
44,737159.0,433490.0,303669.0,4340,2632,1708,0.41194504849021657,0.6058703714203517,0.493058828659496,0.07690391347233375,0.9762501689113626,0.12628466178938313,0,0.0,0,0.43508260680163163,108734.0,29408.0,331,0.4648746292801276,92725.0,30576.0,333,0.6058703714203517,106924.0,65368.0,329,0.5317840685119969,100840.0,46372.0,335,0.5283044685044571,94180.0,43776.0,337,0.35729895643381115,64298.0,7764.0,334,0.44489465812909657,50922.0,14876.0,327,0.5763608701944956,118536.0,65529.0,334
45,697449.0,412594.0,284855.0,4226,2671,1555,0.40842412850258525,0.6194282628146093,0.4731485890544043,0.11244272782366818,0.9465426023315128,0.16882686045861406,0,0.0,0,0.5182629288861964,112171.0,48856.0,328,0.5827954780792938,116853.0,66091.0,332,0.48382556729047327,76095.0,28021.0,333,0.42788187288019697,78722.0,20780.0,333,0.5473349357070918,88404.0,43420.0,329,0.30085437311649954,64997.0,384.0,336,0.3048052936608736,39761.0,320.0,335,0.6194282628146093,120446.0,76983.0,334
46,729307.0,452690.0,276617.0,4035,2661,1374,0.37928746056187534,0.5789226790668074,0.47958511078257526,0.07764831930992203,0.9744556523029342,0.11989961017788109,0,0.0,0,0.5269052089265357,120725.0,54857.0,333,0.5789226790668074,115509.0,64470.0,335,0.40313473500513425,73992.0,15349.0,336,0.3262411196477612,76005.0,5080.0,336,0.4623876849444638,91835.0,29754.0,333,0.4685017718196649,76356.0,25516.0,333,0.543731572838291,66523.0,32447.0,327,0.526856114011944,108362.0,49144.0,334
47,790853.0,410988.0,379865.0,4916,2720,2196,0.48032314475635735,0.6415448568296379,0.5214112300287261,0.08661488515255542,0.9731464016768305,0.1521845715954797,0,0.0,0,0.6415448568296379,152778.0,104376.0,330,0.6022178583293711,119695.0,72383.0,335,0.40704152740879607,70201.0,14974.0,332,0.37330892686000733,83212.0,11404.0,338,0.5624879758631842,104120.0,54691.0,332,0.5340919935773452,92889.0,43471.0,335,0.4924177647175696,61954.0,23830.0,332,0.5581789366438978,106004.0,54736.0,331
48,755951.0,458432.0,297519.0,4390,2623,1767,0.3935691599058664,0.6083268835066892,0.49622525381717275,0.06595028033168182,0.9826431307924555,0.07390574918215576,0,0.0,0,0.37968385584700093,110810.0,17692.0,332,0.5174966036467225,103437.0,45055.0,340,0.4416625076351345,72547.0,21192.0,329,0.5292206960976008,91439.0,41973.0,331,0.45961089099833696,91949.0,29406.0,332,0.6083268835066892,105946.0,65332.0,331,0.5479893125057267,79081.0,39431.0,336,0.48581128030017084,100742.0,37438.0,335
49,751245.0,419501.0,331744.0,4523,2651,1872,0.4415922901317141,0.6337627987821028,0.5053193435068571,0.09706385966727149,0.9644165603303718,0.11702756757116495,0,0.0,0,0.6337627987821028,137127.0,91509.0,332,0.5634302246983127,109800.0,57860.0,332,0.5560981359339887,95302.0,49046.0,332,0.30931556853843206,71239.0,2016.0,333,0.41172088589189765,88334.0,19703.0,336,0.4688474424248797,75814.0,25602.0,327,0.5650558432500459,75945.0,40200.0,336,0.5343238485351979,97684.0,45808.0,331
50,701813.0,410493.0,291320.0,4399,2687,1712,0.41509632907911304,0.6065887768868617,0.5068909989993862,0.06839301958889364,0.9821203460998125,0.08592335137707607,0,0.0,0,0.37412280625683253,104727.0,15556.0,337,0.5618306076166852,97750.0,51732.0,333,0.5300316057494683,86009.0,39284.0,330,0.49382322400874684,85952.0,32765.0,326,0.5472954184322004,84016.0,41652.0,331,0.4400610894000716,78719.0,22074.0,333,0.5013744636442223,60128.0,24193.0,333,0.6065887768868617,104512.0,64064.0,335
51,790465.0,415898.0,374567.0,4867,2657,2210,0.47385652748698487,0.615547304240454,0.5284326570566554,0.05311756524608595,0.9899969855433547,0.11665712586895038,0,0.0,0,0.5485669182342214,131840.0,66276.0,333,0.5335424465863903,115793.0,53712.0,333,0.577869874469588,95239.0,52956.0,333,0.4852834706631368,80888.0,30164.0,332,0.5343249376427889,102860.0,48356.0,338,0.615547304240454,108613.0,68736.0,332,0.43112207955398857,57908.0,15203.0,338,0.5012042250626751,97324.0,39164.0,334
