epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,752614.0,478155.0,274459.0,4455,2997,1458,0.36467432176387843,0.6268814836593886,0.4025089294737821,0.2002150596407056,0.8016518177890509,0.18352767819891724,0,0.3642850310526589,0,0.0052734375,72699.0,0.0,177,0.6026814607549347,116056.0,70290.0,334,0.5926795737257252,98880.0,57861.0,334,0.47197846924454034,113868.0,40400.0,334,0.6268814836593886,154261.0,100820.0,335,0.30751953125,63872.0,0.0,332,0.35148521403066785,54192.0,5088.0,334,0.261572265625,78786.0,0.0,334
11,731388.0,493780.0,237608.0,4239,2813,1426,0.32487270778300936,0.6426730337691913,0.3960168937618932,0.1924150079743836,0.8090122337203156,0.15582426837738628,0,0.37112338883514334,0,0.001611328125,69484.0,0.0,200,0.4836078664634307,93191.0,34203.0,338,0.5362979352304297,89465.0,42307.0,332,0.34729734175766086,106737.0,10472.0,338,0.6426730337691913,154154.0,105694.0,334,0.30380859375,59009.0,0.0,334,0.5673410041244329,84235.0,44932.0,335,0.28549804687499997,75113.0,0.0,333
12,723239.0,456956.0,266283.0,4142,2747,1395,0.3681811959808578,0.5555571596150469,0.4397628706583773,0.17195532445067788,0.8673814518461251,0.1318573459119321,0,0.3059496350962528,0,0.001025390625,71042.0,0.0,181,0.5552392398407547,106504.0,54368.0,335,0.5555571596150469,86180.0,44031.0,328,0.5401190434995953,119208.0,56736.0,335,0.49877015988298135,118188.0,47400.0,328,0.44014459425403,63488.0,18074.0,336,0.4998406645644339,66150.0,26426.0,334,0.4274067129851766,92479.0,19248.0,331
13,689245.0,406899.0,282346.0,4351,2635,1716,0.40964533656392077,0.608993576017128,0.4606492615477735,0.17046217887901483,0.8795575519344085,0.134434598727593,0,0.34460017683748617,0,0.023974609374999997,77348.0,0.0,282,0.608993576017128,119085.0,73593.0,335,0.5423799398347231,81554.0,39558.0,333,0.44963780599460135,97275.0,29796.0,334,0.5404071462925015,116696.0,56998.0,334,0.49317152987052265,67383.0,26487.0,334,0.5127817651154885,61303.0,26232.0,334,0.5138477198822233,68601.0,29682.0,327
14,713077.0,462887.0,250190.0,4079,2582,1497,0.35085972482635064,0.5611304356218374,0.43077083811591443,0.16546052885966692,0.8714328147658296,0.1512973002915532,0,0.338350421106891,0,0.003955078125,71908.0,0.0,298,0.5611304356218374,108775.0,57032.0,332,0.5410789552646769,99460.0,47936.0,332,0.47407728938365323,119588.0,42184.0,330,0.4562463811481249,121259.0,37336.0,330,0.4512739477320187,59348.0,18512.0,335,0.4841140451955025,61942.0,22712.0,332,0.47429057245650175,70797.0,24478.0,328
15,727881.0,478997.0,248884.0,4218,2567,1651,0.3419295186987978,0.5814766112441798,0.43046120635806207,0.17732939217265456,0.8549167600825934,0.11215895867593728,0,0.35234752313032974,0,0.00029296875,74906.0,0.0,241,0.48289152729218865,101824.0,37156.0,331,0.5648298051897097,94037.0,50028.0,329,0.34712336298934343,111016.0,11276.0,335,0.5231741929646543,120799.0,54060.0,335,0.42763439538114667,66621.0,16720.0,333,0.5814766112441798,84345.0,47507.0,337,0.5162667870532742,74333.0,32137.0,334
16,718721.0,422914.0,295807.0,4187,2473,1714,0.41157417134047786,0.6158287274195904,0.4508946954847628,0.1804506548796927,0.8619466200210508,0.1514101090687483,0,0.3345396469430198,0,0.00029296875,66573.0,0.0,146,0.522237759934145,110369.0,49412.0,339,0.5449132283132708,89929.0,43953.0,329,0.5261963951114677,116719.0,54410.0,334,0.5349184764619233,122732.0,57688.0,334,0.39374563279617003,60286.0,11256.0,335,0.4690243750915351,58036.0,19636.0,338,0.6158287274195904,94077.0,59452.0,338
17,751707.0,462777.0,288930.0,4557,2707,1850,0.3843651848393052,0.6034048211024756,0.45164254901728146,0.17674061430927732,0.8671988822760937,0.12280798901699708,0,0.35299074850900003,0,0.020068359374999997,79312.0,0.0,232,0.4685245708027524,102466.0,34416.0,343,0.5384472079248005,91563.0,43648.0,335,0.368011554992686,107593.0,13700.0,331,0.6034048211024756,139640.0,85144.0,332,0.5578315766982256,84325.0,43508.0,336,0.4914928160979477,63643.0,24393.0,334,0.5653594851443634,83165.0,44121.0,335
18,703665.0,408466.0,295199.0,4265,2530,1735,0.4195163891908786,0.6369788470740618,0.4503646456917016,0.18913332358164117,0.8500777248345118,0.16165593712917348,0,0.3605964099471824,0,0.001611328125,66913.0,0.0,288,0.5477734016474526,105957.0,52517.0,340,0.6236028522046413,100980.0,65414.0,336,0.39889359302687477,101988.0,20152.0,336,0.6369788470740618,138319.0,92951.0,334,0.4250642234738662,58215.0,14800.0,330,0.5337287079255599,67440.0,31960.0,336,0.4352642120561562,63853.0,17405.0,333
19,726516.0,456944.0,269572.0,4115,2726,1389,0.3710475750017888,0.5907130363596799,0.4357104303843717,0.17365891019991664,0.8629214520795085,0.1477304009822218,0,0.34230116418394835,0,0.00576171875,83419.0,0.0,333,0.5498334978091195,110729.0,55306.0,333,0.4802496392365132,85041.0,30624.0,331,0.49208488294338876,122956.0,47272.0,334,0.5907130363596799,125442.0,72972.0,332,0.3706300044424271,58210.0,8092.0,334,0.5309547779915338,69214.0,31707.0,334,0.4654558855423112,71505.0,23599.0,337
20,705542.0,433789.0,271753.0,4042,2514,1528,0.3851691323833303,0.5797262784112728,0.43515915863557075,0.1777978513307082,0.8569431179478908,0.17474969597841072,0,0.351057655232395,0,0.0013183593749999999,77317.0,0.0,315,0.5747724662012876,113170.0,62192.0,335,0.5557854330316158,94826.0,48538.0,331,0.44598487128799363,112515.0,32829.0,336,0.5797262784112728,130076.0,73000.0,334,0.5208191395908012,71387.0,32071.0,335,0.39958197512954535,49837.0,9916.0,331,0.40328474605704934,56414.0,13207.0,338
21,692684.0,422002.0,270682.0,3894,2399,1495,0.3907727044366545,0.6032532818786555,0.42197462573580824,0.18755044705961732,0.8350424847964644,0.20112165143124394,0,0.3639900033727002,0,0.0032714843749999997,64204.0,0.0,116,0.5790403111460884,105020.0,58825.0,331,0.5769546466948141,106853.0,59166.0,338,0.4667381296860468,116236.0,38796.0,337,0.6032532818786555,136700.0,82816.0,331,0.3125954454791055,43422.0,2684.0,336,0.48950123193516615,60122.0,22804.0,326,0.34444247469158956,60127.0,5591.0,330
22,697491.0,439417.0,258074.0,4098,2564,1534,0.37000334054489536,0.6355550626968705,0.415517104996743,0.19099980461203803,0.8255631177917369,0.1754666010027368,0,0.3715567969966885,0,0.001904296875,69738.0,0.0,216,0.394488598205719,90947.0,17480.0,330,0.5969254881133292,101775.0,60469.0,335,0.48897945393098174,112828.0,43636.0,337,0.6355550626968705,137938.0,92612.0,333,0.284619140625,50952.0,0.0,330,0.539464453639344,71389.0,34253.0,333,0.3822003458876998,61924.0,9624.0,332
23,677115.0,446820.0,230295.0,3948,2741,1207,0.3401120932190243,0.6178654332388468,0.4069438933424391,0.17664548899880847,0.8414505837577266,0.1823041506981824,0,0.34234897652376467,0,0.0005859375,75549.0,0.0,282,0.4085943477807371,93853.0,20228.0,337,0.42227117506784617,65772.0,16296.0,341,0.6178654332388468,133532.0,84108.0,334,0.5642290994231233,122882.0,64914.0,335,0.3613273345472348,67023.0,7036.0,335,0.3671038915778227,45047.0,6336.0,335,0.5135739276039014,73457.0,31377.0,335
24,690629.0,424863.0,265766.0,4161,2673,1488,0.38481731870512187,0.610057446868719,0.4246860274154324,0.18110821320681506,0.8461229589732461,0.19846129397983558,0,0.3748391617167069,0,0.000146484375,74968.0,0.0,299,0.5867132926035487,108171.0,62007.0,336,0.46892306549802487,76665.0,25886.0,333,0.5257774522208145,120136.0,54248.0,341,0.610057446868719,141348.0,87652.0,330,0.4643999296184157,64914.0,21293.0,330,0.4021781142671235,52955.0,10620.0,338,0.33929243387181307,51472.0,4060.0,334
25,738883.0,415808.0,323075.0,4528,2530,1998,0.43724784573470976,0.6452117481222184,0.4592527160058024,0.18534692196980754,0.8599340876775382,0.16651232333129862,0,0.38616584806597964,0,0.0030761718750000003,64128.0,0.0,192,0.5530174300697717,111933.0,56642.0,332,0.4927564004933431,76379.0,29460.0,338,0.4782784094777679,117496.0,41894.0,336,0.6452117481222184,146849.0,101388.0,334,0.4151542806654491,62174.0,14556.0,331,0.5971775166768307,86263.0,51254.0,329,0.48934977066603846,73661.0,27881.0,333
26,686467.0,454836.0,231631.0,3711,2458,1253,0.3374248143027992,0.6206248811443924,0.4082431294737683,0.17152317978802248,0.8499602049306887,0.18183594404392323,0,0.37658791281374326,0,0.0080078125,74710.0,0.0,188,0.4962006430125311,103886.0,40765.0,326,0.4587384520708351,78024.0,25388.0,333,0.42976678892986575,109442.0,28468.0,330,0.6206248811443924,141979.0,91044.0,332,0.39491167475590216,60555.0,11341.0,336,0.5244792995558925,67608.0,30373.0,333,0.33321548382072713,50263.0,4252.0,332
27,739411.0,435423.0,303988.0,4330,2581,1749,0.4111218253447671,0.6190586112658845,0.4385808428142344,0.18557842860345192,0.8481459844007561,0.1884586177376315,0,0.38655698331521826,0,0.002490234375,70689.0,0.0,190,0.5969082848753502,121583.0,72198.0,338,0.4514699133102752,80636.0,24042.0,329,0.5352624437455722,124268.0,58544.0,331,0.6190586112658845,150756.0,96200.0,337,0.43629489617917433,64456.0,17740.0,337,0.5287949488734507,68725.0,31468.0,328,0.3383674098891681,58298.0,3796.0,334
28,683135.0,434596.0,248539.0,3863,2480,1383,0.3638212066429031,0.6281771904490998,0.4220721098955481,0.1791873284914967,0.8472882474709212,0.17718770813967932,0,0.3677108142675029,0,0.002490234375,69454.0,0.0,181,0.46421349206121537,98118.0,32857.0,334,0.5210225010280533,86328.0,38144.0,332,0.47013805839837597,113865.0,39346.0,333,0.6281771904490998,137118.0,89998.0,330,0.3059203311939326,53953.0,544.0,337,0.51577941081506,60733.0,26198.0,329,0.468835660843648,63566.0,21452.0,330
