epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,202175.0,202175.0,0.0,179,179,0,0.0,0.001708984375,0.00043945312499999996,0.0005258950006967289,0.4116215505063894,0.1734543093854326,0,0,0.0,0,0,0,0,3176,680330.0,49468.0,0.0,23080.0,0.0,19,0.00048828125,20173.0,0.0,19,0.000146484375,22197.0,0.0,19,0.000146484375,26917.0,0.0,24,0.001708984375,39779.0,0.0,32,0.0,12083.0,0.0,16,0.0006347656249999999,34628.0,0.0,22,0.000390625,23318.0,0.0,18
11,194720.0,194720.0,0.0,157,157,0,0.0,0.00043945312499999996,0.00025634765625,0.00014183288621365053,0.7662312446647302,0.2063668344289229,0,0,0.0,0,0,0,0,2970,688500.0,55960.0,0.000244140625,23834.0,0.0,17,0.000146484375,24462.0,0.0,20,0.000390625,27517.0,0.0,21,0.000390625,28222.0,0.0,21,0.00043945312499999996,36910.0,0.0,36,0.0,1542.0,0.0,3,0.00029296875,31884.0,0.0,25,0.000146484375,20349.0,0.0,18
12,181683.0,181683.0,0.0,152,152,0,0.0,0.0005371093749999999,0.000341796875,0.00014850494458735887,0.8417216500624568,0.19042026496700215,0,0,0.0,0,0,0,0,2899,638639.0,51160.0,0.000390625,24779.0,0.0,21,0.000390625,20984.0,0.0,18,0.00029296875,24303.0,0.0,22,0.00029296875,25214.0,0.0,19,0.00043945312499999996,31884.0,0.0,24,0.0,659.0,0.0,2,0.0005371093749999999,31072.0,0.0,26,0.000390625,22788.0,0.0,16
13,158036.0,158036.0,0.0,132,132,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.21234402288086152,0,0,0.0,0,0,0,0,2767,564935.0,47676.0,0.0,18256.0,0.0,16,0.0,27855.0,0.0,29,0.0,19628.0,0.0,16,0.0,18336.0,0.0,18,0.0,28017.0,0.0,26,0.000244140625,1403.0,0.0,1,0.0,27384.0,0.0,24,0.0,17157.0,0.0,17
14,183271.0,183271.0,0.0,138,138,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.2159377370124016,0,0,0.0,0,0,0,0,2720,646158.0,55368.0,0.0,21256.0,0.0,16,0.0,24000.0,0.0,16,0.0,19884.0,0.0,16,0.0,22628.0,0.0,16,0.0,34283.0,0.0,26,0.0,1793.0,0.0,4,0.000244140625,35318.0,0.0,25,0.0,24109.0,0.0,19
15,191287.0,191287.0,0.0,156,156,0,0.0,0.00048828125,0.00023193359375,0.00012627051309556397,0.7720248388130082,0.1950870942615015,0,0,0.0,0,0,0,0,2723,670284.0,56611.0,0.000244140625,29381.0,0.0,21,0.000244140625,29096.0,0.0,26,0.0,19289.0,0.0,17,0.00048828125,23816.0,0.0,18,0.000244140625,29140.0,0.0,23,0.000244140625,3021.0,0.0,4,0.000146484375,34916.0,0.0,25,0.000244140625,22628.0,0.0,15
16,189051.0,189051.0,0.0,149,149,0,0.0,0.0006347656249999999,0.000341796875,0.00016914558667664815,0.8031923966935905,0.16251765396638929,0,0,0.0,0,0,0,0,2622,611965.0,52208.0,0.000390625,23688.0,0.0,20,0.000146484375,22628.0,0.0,16,0.00048828125,25867.0,0.0,17,0.000146484375,25107.0,0.0,20,0.000390625,30512.0,0.0,23,0.000146484375,5365.0,0.0,10,0.0006347656249999999,33256.0,0.0,22,0.000390625,22628.0,0.0,15
17,191420.0,191420.0,0.0,152,152,0,0.0,0.0005371093749999999,0.00032958984374999997,0.00014800238834206716,0.8327226586983419,0.17637394211681046,0,0,0.0,0,0,0,0,2859,654197.0,48832.0,0.00029296875,23419.0,0.0,18,0.000390625,24627.0,0.0,16,0.00029296875,21934.0,0.0,17,0.000390625,26141.0,0.0,18,0.0005371093749999999,36246.0,0.0,27,0.0,5132.0,0.0,10,0.00043945312499999996,30512.0,0.0,24,0.00029296875,23409.0,0.0,20
18,171627.0,171627.0,0.0,134,134,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.22197046502007178,0,0,0.0,0,0,0,0,2664,580093.0,48665.0,0.0,20875.0,0.0,18,0.0,20499.0,0.0,18,0.0,18384.0,0.0,17,0.0,21781.0,0.0,20,0.0,34044.0,0.0,31,0.0,1216.0,0.0,3,0.0,31500.0,0.0,24,0.0,23328.0,0.0,19
19,192178.0,192178.0,0.0,152,152,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.22963996919522445,0,0,0.0,0,0,0,0,2878,649122.0,50736.0,0.0,22923.0,0.0,17,0.0,24815.0,0.0,21,0.0,22628.0,0.0,16,0.0,24454.0,0.0,20,0.000244140625,39206.0,0.0,33,0.0,640.0,0.0,2,0.0,36256.0,0.0,26,0.0,21256.0,0.0,16
