epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,1428137.0,1428137.0,0.0,962,962,0,0.0,0.155517578125,0.022772216796875,0.050642928124949624,0.1681982551846112,0.8122343129545693,962,1301448.77847313,1553987.007033023,1953769.4089400119,1989746.1299712593,2001245.0578308296,2002311.5690139662,0,0,0.0,0,0,0,0,962,1428137.0,1704.0,0.155517578125,1097422.0,0.0,478,0.021240234375,309000.0,0.0,119,0.0,0.0,0.0,0,0.005419921875,19021.0,0.0,471,0.0,694.0,0.0,240,0.0,445.0,0.0,2,0.0,705.0,0.0,2,0.0,850.0,0.0,2
11,1264771.0,1264771.0,0.0,853,853,0,0.0,0.10136718750000001,0.020343017578125,0.03662603268697243,0.23578179380411404,0.8731761520464967,853,557625.141249772,559200.6615443733,901229.0032223851,929992.9546884401,1614009.5232196338,1651224.8799651228,0,0,0.0,0,0,0,0,853,1264771.0,1544.0,0.061376953124999994,1792.0,0.0,476,0.10136718750000001,1259992.0,0.0,479,0.0,0.0,0.0,0,0.0,217.0,0.0,38,0.0,0.0,0.0,0,0.0,1027.0,0.0,3,0.0,0.0,0.0,0,0.0,1743.0,0.0,3
12,903003.0,903003.0,0.0,614,614,0,0.0,0.08447265624999999,0.010864257812499998,0.027830425015328338,0.13225448241186613,0.8440563043533629,614,1088574.0643662813,1162424.551575276,1407655.6650078704,1430927.2057884908,1434761.937937755,1435065.3367566522,0,0,0.0,0,0,0,0,614,903003.0,1500.0,0.0,19116.0,0.0,436,0.08447265624999999,832609.0,0.0,481,0.0,364.0,0.0,1,0.002197265625,41269.0,0.0,19,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8132.0,0.0,8,0.000244140625,1513.0,0.0,2
13,19519.0,19519.0,0.0,20,20,0,0.0,0.00732421875,0.00091552734375,0.0024222576700420446,0.1252387393418596,0.7209065525897727,20,8391.979246770778,2828.2906921124086,21605.609854298644,22273.950562519392,22424.327221869065,22441.03573957458,0,0,0.0,0,0,0,0,20,19519.0,1500.0,0.0,3550.0,0.0,6,0.00732421875,0.0,0.0,476,0.0,0.0,0.0,0,0.0,13054.0,0.0,18,0.0,1125.0,0.0,1,0.0,92.0,0.0,1,0.0,1021.0,0.0,2,0.0,677.0,0.0,2
14,164679.0,164679.0,0.0,122,122,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.8131190072808299,122,21559.56288547849,14322.38065260835,56176.7648318313,59143.69772735647,59873.932349695904,59942.929245295,0,0,0.0,0,0,0,0,122,164679.0,1500.0,0.0,4184.0,0.0,5,0.0,1423.0,0.0,53,0.0,200.0,0.0,1,0.0,134608.0,0.0,94,0.0,67.0,0.0,1,0.0,0.0,0.0,0,0.0,23355.0,0.0,16,0.0,842.0,0.0,2
15,54165.0,54165.0,0.0,47,47,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7746722976091529,47,11070.376532240276,9142.405313141644,25562.572694184997,28023.149906516373,28536.68183765824,28593.74094111845,0,0,0.0,0,0,0,0,47,54165.0,1500.0,0.0,3530.0,0.0,5,0.0,45257.0,0.0,31,0.0,0.0,0.0,0,0.0,1923.0,0.0,4,0.0,505.0,0.0,1,0.0,776.0,0.0,1,0.0,1245.0,0.0,2,0.0,929.0,0.0,3
16,7298.0,7298.0,0.0,14,14,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.45461085228827125,14,2152.5462180269615,2100.9156242609024,3080.53209853163,3447.0950294986174,3529.5716889661903,3538.735762240365,0,0,0.0,0,0,0,0,14,7298.0,1500.0,0.0,523.0,0.0,2,0.0,106.0,0.0,1,0.0,714.0,0.0,2,0.0,1847.0,0.0,3,0.0,915.0,0.0,1,0.0,479.0,0.0,1,0.0,2510.0,0.0,3,0.0,204.0,0.0,1
17,95066.0,95066.0,0.0,73,73,0,0.0,0.00634765625,0.00079345703125,0.0020992899807031054,0.12527543391480786,0.8063950308206904,73,22177.21728491528,19420.754515059292,49599.17933257967,52169.16264567912,52568.971909423555,52613.39516095072,0,0,0.0,0,0,0,0,73,95066.0,1816.0,0.00634765625,81856.0,0.0,30,0.0,5460.0,0.0,6,0.0,0.0,0.0,0,0.0,4804.0,0.0,4,0.0,774.0,0.0,2,0.0,0.0,0.0,0,0.0,704.0,0.0,2,0.0,1468.0,0.0,3
18,84365.0,84365.0,0.0,64,64,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.837768920760976,64,61598.30784730846,69988.14332449995,92960.79865129739,96573.18000338103,96993.91879841039,97040.66755341366,0,0,0.0,0,0,0,0,64,84365.0,1500.0,0.0,79155.0,0.0,80,0.0,1125.0,0.0,2,0.0,240.0,0.0,1,0.0,2050.0,0.0,3,0.0,423.0,0.0,1,0.0,0.0,0.0,0,0.0,779.0,0.0,2,0.0,593.0,0.0,1
19,51559.0,51559.0,0.0,43,43,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7230042281657862,43,8371.504060530213,5656.173473004252,21047.31185328476,21883.678407294003,22033.698284813134,22050.36716009304,0,0,0.0,0,0,0,0,43,51559.0,1500.0,0.0,6358.0,0.0,6,0.0,1140.0,0.0,2,0.0,0.0,0.0,0,0.0,36379.0,0.0,26,0.0,5337.0,0.0,5,0.0,977.0,0.0,1,0.0,1099.0,0.0,2,0.0,269.0,0.0,1
