config,sl_drop_ratio,sl_mean_Pmax,sl_p99_Pmax,sl_mean_fairness,sl_mean_imbalance,sl_total_reassign,sl_rate_err_max,sf_drop_ratio,sf_mean_Pmax,sf_mean_fairness,sf_mean_imbalance,sf_handoffs_committed,sf_rate_err_max
proposed,0.1021013051267376,0.40277821318362067,0.514011920077054,0.927313344625042,0.11128469568049786,22,0.014737700210491908,0.1472758213069895,0.46331527832283426,0.9192191832371887,0.16455957010591984,70,0.0029687761758804177
static,0.09875734794490289,0.4060398838579048,0.514011920077054,0.9278193097487802,0.09988814005727847,22,0.014737700210491908,0.2194022870255298,0.5181100964505371,0.5956306345966359,0.20374396515260235,0,0.0029687761758804177
