epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,1949450.0,1687443.0,262007.0,3772,3274,498,0.13440047192797963,0.46698427411700566,0.14065477151465092,0.18941890124178876,0.3554191949753781,0.2705341250096178,3274,1693558.7785421521,1158159.134989813,4299257.76994351,4304789.946686777,4307874.745082222,4308900.181428475,0,0,0.0,0,0,0,0,3274,1687443.0,3160.0,0.46698427411700566,405637.0,135470.0,483,0.0,74052.0,0.0,158,0.026953124999999998,190036.0,0.0,482,0.0009765625,137323.0,0.0,306,0.084716796875,344266.0,0.0,480,0.4607929605002016,398684.0,126537.0,488,0.001171875,162743.0,0.0,451,0.08364257812499999,236709.0,0.0,480
11,1979985.0,1749055.0,230930.0,3714,3290,424,0.11663219670856087,0.4817099787448519,0.13330397235525787,0.18314338033110938,0.34631549384842125,0.23532267921221606,3290,1579720.8880266265,1036631.945355162,4293608.87958325,4297369.751639792,4301240.351100895,4303280.256848814,0,0,0.0,0,0,0,0,3290,1749055.0,3124.0,0.4817099787448519,406861.0,148219.0,481,0.000244140625,98436.0,0.0,207,0.022265625,211792.0,0.0,488,0.004736328125,148141.0,0.0,338,0.0779296875,314697.0,0.0,481,0.40869640947221103,378428.0,82711.0,478,0.001416015625,237416.0,0.0,484,0.06943359375,184214.0,0.0,488
12,2073758.0,1930590.0,143168.0,3724,3443,281,0.06903794946179831,0.4078484324813343,0.12154175704893962,0.16289371822493492,0.35762664354007956,0.21143004632170181,3443,1533046.5078625868,906639.0063466504,4292506.45034097,4296127.610109946,4298931.927436548,4299719.571279716,0,0,0.0,0,0,0,0,3443,1930590.0,3786.0,0.4078484324813343,376096.0,81086.0,484,0.000390625,171171.0,0.0,295,0.001171875,182613.0,0.0,484,0.000146484375,135815.0,0.0,334,0.104296875,394045.0,0.0,489,0.3870442176601826,357213.0,62082.0,478,0.01474609375,288010.0,0.0,479,0.056689453125,168795.0,0.0,482
13,2260909.0,2044859.0,216050.0,4208,3813,395,0.09555891015516321,0.49128857266239084,0.1346819789881708,0.17779732651052688,0.36460018159812785,0.15292571483416628,3813,1441506.8306469286,884481.8026208282,4275687.332804486,4287674.297220196,4293021.959440543,4293700.365861528,0,0,0.0,0,0,0,0,3813,2044859.0,3157.0,0.49128857266239084,440795.0,168552.0,481,0.0005371093749999999,184490.0,0.0,340,0.0138671875,261656.0,0.0,476,0.0,188748.0,0.0,389,0.10791015625,340743.0,0.0,484,0.37386257174297544,318999.0,47498.0,475,0.022802734374999998,273248.0,0.0,482,0.0671875,252230.0,0.0,480
14,2303808.0,2041587.0,262221.0,4306,3808,498,0.11382068297358108,0.4591721715470307,0.1448492780220307,0.1837210068864607,0.3833273044998551,0.1732709496624718,3808,1476426.3799620874,904990.7293946799,4267043.9959295355,4269766.356485744,4271453.394843102,4272091.43418074,0,0,0.0,0,0,0,0,3808,2041587.0,3513.0,0.4591721715470307,412482.0,131553.0,483,0.000146484375,184312.0,0.0,328,0.019287109375,284350.0,0.0,481,0.0009765625,166304.0,0.0,391,0.11225585937499999,323527.0,0.0,477,0.454065412004215,423798.0,130668.0,468,0.028906249999999998,261165.0,0.0,477,0.08398437499999999,247870.0,0.0,484
15,2112297.0,1851644.0,260653.0,3908,3416,492,0.12339789338336413,0.47124081548550434,0.1405923678336048,0.18481367845480073,0.36656838366858707,0.2093611244062743,3416,1619343.473921614,1044539.4607625557,4267899.467370488,4271038.889653502,4272843.317080547,4274068.979333941,0,0,0.0,0,0,0,0,3416,1851644.0,3968.0,0.4387032053083341,403912.0,111890.0,477,0.000146484375,186647.0,0.0,290,0.031689453125,288467.0,0.0,472,0.0005859375,138759.0,0.0,354,0.104296875,265430.0,0.0,478,0.47124081548550434,434244.0,148763.0,487,0.008056640625,213302.0,0.0,483,0.07001953125,181536.0,0.0,480
16,2082064.0,1862586.0,219478.0,3781,3428,353,0.10541366643868771,0.47312375349489677,0.13636512434842762,0.179902690326658,0.36490043358896884,0.19654691210260578,3428,1575969.2536558036,873964.982339209,4272722.750465839,4284293.064603623,4286283.393434396,4286990.099764425,0,0,0.0,0,0,0,0,3428,1862586.0,2638.0,0.47312375349489677,396225.0,137308.0,480,0.0,137950.0,0.0,247,0.03701171875,281769.0,0.0,482,0.000146484375,147217.0,0.0,334,0.102392578125,298905.0,0.0,478,0.4096917725425241,374050.0,82170.0,480,0.00439453125,245528.0,0.0,482,0.06416015625,200420.0,0.0,479
17,2323161.0,2061204.0,261957.0,4354,3856,498,0.11275886604501362,0.48488896110686924,0.14708419996390154,0.18674786477656966,0.3828406626116394,0.14757947253763293,3856,1485066.5394221551,874932.3360909894,4280445.855229754,4283323.3111544205,4285948.187397816,4286334.514846824,0,0,0.0,0,0,0,0,3856,2061204.0,3197.0,0.48488896110686924,409976.0,151520.0,479,0.00048828125,178222.0,0.0,324,0.06591796875,296918.0,0.0,485,0.000390625,236286.0,0.0,449,0.1060546875,325676.0,0.0,483,0.44354245110434287,384946.0,110437.0,484,0.0078125,271599.0,0.0,485,0.067578125,219538.0,0.0,481
18,2161958.0,1908985.0,252973.0,3875,3401,474,0.11701106126946031,0.5144946448985496,0.14022560025712905,0.18257007157678593,0.3710394464562562,0.22645398291733687,3401,1678345.757559516,889405.8330411427,4285209.729474001,4288280.312973119,4290434.429331797,4291721.4575477205,0,0,0.0,0,0,0,0,3401,1908985.0,2866.0,0.5144946448985496,469739.0,201513.0,479,0.0,136303.0,0.0,239,0.05126953125,240479.0,0.0,485,0.000146484375,201596.0,0.0,366,0.1236328125,385921.0,0.0,483,0.37103086028348287,360749.0,51460.0,480,0.0005859375,183301.0,0.0,397,0.060644531249999994,183870.0,0.0,485
19,2397739.0,2124985.0,272754.0,4279,3790,489,0.113754666375281,0.47870746443582235,0.15321647520167056,0.18683893155837053,0.40208376034211796,0.19517600748038055,3790,1649039.1566520026,860597.1862927899,4292523.9406515565,4296576.161016788,4300995.667492968,4302264.769722328,0,0,0.0,0,0,0,0,3790,2124985.0,2896.0,0.47870746443582235,395904.0,141502.0,482,0.000244140625,181173.0,0.0,290,0.078857421875,289555.0,0.0,477,0.0006347656249999999,241590.0,0.0,438,0.16362304687499998,451726.0,0.0,485,0.4495633996775422,437926.0,131252.0,484,0.0010742187499999999,211998.0,0.0,392,0.05302734375,187867.0,0.0,481
20,2549333.0,2199653.0,349680.0,4504,3864,640,0.13716528990131924,0.506282133711591,0.1681760485677759,0.19662602051086242,0.422484035553667,0.19902524503468166,3864,1740367.5576176052,1332579.1013358012,4289035.449151252,4293209.456059881,4294546.265645345,4295414.470151115,0,0,0.0,0,0,0,0,3864,2199653.0,4728.0,0.506282133711591,452601.0,186727.0,472,0.000146484375,166385.0,0.0,277,0.130078125,357093.0,0.0,479,0.00068359375,235955.0,0.0,422,0.17924804687499998,443434.0,0.0,480,0.4769680517056163,460911.0,162953.0,472,0.000146484375,223848.0,0.0,399,0.05185546875,209106.0,0.0,476
21,2409911.0,2101859.0,308052.0,4388,3795,593,0.12782712722586015,0.4790905193366548,0.16563545368094557,0.19040036742252664,0.4307775483295301,0.18162045195859933,3795,1763511.6678809088,1493023.5540871173,4283483.753974701,4287857.047235797,4290759.419179131,4291291.559050947,0,0,0.0,0,0,0,0,3795,2101859.0,3521.0,0.4782685007359097,390885.0,139594.0,482,0.000390625,181714.0,0.0,314,0.1203125,287184.0,0.0,480,0.005712890625,252176.0,0.0,469,0.182958984375,397928.0,0.0,481,0.4790905193366548,469164.0,168458.0,485,0.0013671875,207680.0,0.0,428,0.056982421875,223180.0,0.0,479
22,2215355.0,1942946.0,272409.0,4044,3528,516,0.1229640396234463,0.5141597303966481,0.16354904641494844,0.18838061503667344,0.4297918614036892,0.22267712172541199,3528,1923054.2810012118,1512362.068247648,4284030.058935749,4289281.588815219,4295168.686942602,4296801.552169651,0,0,0.0,0,0,0,0,3528,1942946.0,3329.0,0.5141597303966481,425616.0,182549.0,475,0.0,141511.0,0.0,240,0.09902343749999999,211138.0,0.0,483,0.0013183593749999999,191803.0,0.0,392,0.221826171875,435226.0,0.0,473,0.4147404534229393,390914.0,89860.0,479,0.007958984375,245321.0,0.0,445,0.049365234375,173826.0,0.0,483
23,2265602.0,2098224.0,167378.0,4152,3870,282,0.07387793619532465,0.46098953678473376,0.15608002934154758,0.16599075314579473,0.4692572294172406,0.1853944337972866,3870,1869516.8811944162,1469922.0562343244,4292486.472243076,4296441.600683656,4298322.819751307,4299416.927633606,0,0,0.0,0,0,0,0,3870,2098224.0,3670.0,0.353373354197647,271676.0,30274.0,477,0.000244140625,150690.0,0.0,250,0.12954101562499998,283643.0,0.0,483,0.013525390625,259945.0,0.0,477,0.242041015625,443349.0,0.0,484,0.46098953678473376,425043.0,137104.0,474,0.000146484375,240016.0,0.0,468,0.048779296874999996,191240.0,0.0,475
24,2234330.0,2035817.0,198513.0,3971,3586,385,0.08884676838246809,0.4464358608711395,0.1600463066530703,0.17403389493080923,0.4582050307715325,0.20725631397331634,3586,2050088.7274257294,1654942.125076631,4272513.585069822,4278136.198200176,4281037.746677925,4281918.778546076,0,0,0.0,0,0,0,0,3586,2035817.0,3363.0,0.4071279517284226,350511.0,74346.0,483,0.0,137700.0,0.0,205,0.111767578125,245390.0,0.0,481,0.0035156249999999997,233173.0,0.0,477,0.260302734375,438245.0,0.0,480,0.4464358608711395,424530.0,124167.0,474,0.008447265625,219161.0,0.0,433,0.0427734375,185620.0,0.0,480
25,2508961.0,2144221.0,364740.0,4489,3851,638,0.14537491814340672,0.5087563146628303,0.18695798512105127,0.19817218059870487,0.4709073605487268,0.20898815286487116,3851,1998093.0179263905,1677518.1375895813,4261244.092829742,4265018.381770361,4266939.72623591,4267587.2168678865,0,0,0.0,0,0,0,0,3851,2144221.0,3693.0,0.48881186318058,440139.0,166035.0,484,0.0,128480.0,0.0,201,0.149365234375,315013.0,0.0,477,0.001025390625,211264.0,0.0,396,0.263916015625,423501.0,0.0,492,0.5087563146628303,475592.0,198705.0,482,0.025146484375,289993.0,0.0,483,0.058642578125,224979.0,0.0,481
26,2286867.0,2035831.0,251036.0,3991,3570,421,0.10977289015933148,0.4685629533506067,0.17379243388623478,0.18337427647063842,0.4731926070810703,0.23212909845653473,3570,2236122.914094534,2062624.5608178154,4275353.634296307,4279088.467467385,4280912.774787957,4281574.205608897,0,0,0.0,0,0,0,0,3570,2035831.0,2787.0,0.4685629533506067,457100.0,154502.0,479,0.000244140625,136305.0,0.0,187,0.1521484375,257109.0,0.0,479,0.00126953125,212815.0,0.0,426,0.29541015625,452646.0,0.0,475,0.42202065836427144,395881.0,96534.0,480,0.0,190555.0,0.0,463,0.05068359375,184456.0,0.0,479
27,2460962.0,2025402.0,435560.0,4320,3544,776,0.1769876983065971,0.5478450780054511,0.19100337889413793,0.20812885993547553,0.45717206110302305,0.24526333604501005,3544,2214110.985687529,2110588.2947938815,4264739.467032936,4274796.512040824,4278921.339940997,4279896.824874856,0,0,0.0,0,0,0,0,3544,2025402.0,3944.0,0.5478450780054511,554169.0,274642.0,482,0.0006347656249999999,165012.0,0.0,279,0.1484375,206348.0,0.0,477,0.00029296875,181930.0,0.0,349,0.30131835937499996,416885.0,0.0,481,0.47124640627265224,469041.0,160918.0,476,0.000244140625,215086.0,0.0,387,0.0580078125,252491.0,0.0,485
28,2547716.0,2090567.0,457149.0,4419,3618,801,0.17943483496590665,0.5637458680417069,0.19621547664134115,0.20553559985131528,0.47681494231270577,0.2766524997291693,3618,2189523.775421325,2053394.8523366712,4274866.384682382,4277795.8333738,4279654.904894723,4280676.179085743,0,0,0.0,0,0,0,0,3618,2090567.0,2902.0,0.5637458680417069,585466.0,309000.0,475,0.0,112753.0,0.0,242,0.140625,195200.0,0.0,476,0.001513671875,206919.0,0.0,386,0.304541015625,415834.0,0.0,479,0.4517298982140224,488829.0,148149.0,485,0.0,185363.0,0.0,375,0.10756835937499999,357352.0,0.0,478
29,2332332.0,1884080.0,448252.0,4312,3543,769,0.1921904771704885,0.48883749788387176,0.20453982256498054,0.2054090582013854,0.4978808752264796,0.2651633643923763,3543,2240262.8377307784,1976985.7297390848,4289208.093771433,4293095.691914325,4295343.09576097,4295943.200691834,0,0,0.0,0,0,0,0,3543,1884080.0,3173.0,0.48883749788387176,461301.0,174357.0,487,0.0,121523.0,0.0,275,0.14306640625,200229.0,0.0,481,0.0017578125,209143.0,0.0,384,0.40628319846572164,440150.0,93819.0,480,0.4851431966702509,485931.0,180076.0,480,0.0,139074.0,0.0,365,0.11123046875,274981.0,0.0,479
30,2308566.0,1949205.0,359361.0,3997,3399,598,0.15566416554692386,0.5028324382615192,0.19324845389044565,0.1947363442366791,0.49616577898279873,0.2489805359690822,3399,2274192.538066565,1997725.830346059,4293140.768665487,4297013.751728195,4298365.67323906,4299233.6879129335,0,0,0.0,0,0,0,0,3399,1949205.0,3750.0,0.5028324382615192,467753.0,189888.0,474,0.0,65136.0,0.0,158,0.137841796875,198618.0,0.0,480,0.0029296875,235665.0,0.0,414,0.3666150069708678,437255.0,58896.0,479,0.4297628421411783,425593.0,110577.0,481,0.000244140625,233215.0,0.0,443,0.10576171875,245331.0,0.0,477
31,2448508.0,1977204.0,471304.0,4357,3573,784,0.19248619975920023,0.5304821538746675,0.20758508173587134,0.2069200658612433,0.5016043567346207,0.2579258470872874,3573,2255177.513490587,1913938.4961439148,4285507.148925751,4290455.348228214,4292303.622863612,4293470.873696625,0,0,0.0,0,0,0,0,3573,1977204.0,2919.0,0.5304821538746675,506245.0,233262.0,482,0.000244140625,105636.0,0.0,216,0.132568359375,181624.0,0.0,478,0.001171875,217175.0,0.0,428,0.369395218627833,412346.0,56827.0,480,0.4814087501344704,499063.0,181215.0,481,0.00380859375,225561.0,0.0,393,0.1416015625,300858.0,0.0,483
32,2620644.0,2081536.0,539108.0,4533,3677,856,0.20571584694449144,0.5176354761082261,0.21570780552671567,0.21261657167047315,0.5072172511633161,0.21975285464183614,3677,2223040.1033894536,1948578.843600899,4281332.982049443,4290837.85079975,4293321.09832163,4294671.279776312,0,0,0.0,0,0,0,0,3677,2081536.0,2884.0,0.5176354761082261,510568.0,222385.0,473,0.000146484375,166033.0,0.0,300,0.142578125,227918.0,0.0,476,0.0,245267.0,0.0,455,0.4452099507702158,477366.0,139196.0,479,0.4763424079602835,502941.0,177527.0,483,0.0005859375,218821.0,0.0,438,0.1431640625,271730.0,0.0,489
