epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
11,2140037.0,1896656.0,243381.0,4046,3580,466,0.11372747293621555,0.5096682412261879,0.14647436459224408,0.18815588113049334,0.37734376697221456,0.22102626029363037,0,0,0.0,0,0,0,0,23856,8232721.0,6828.0,0.258251953125,260627.0,0.0,473,0.001123046875,151893.0,0.0,330,0.000732421875,208461.0,0.0,450,0.0,195670.0,0.0,353,0.5096682412261879,498180.0,209051.0,484,0.3552907380117648,427479.0,34330.0,477,0.04658203125,201910.0,0.0,478,0.000146484375,195817.0,0.0,301
12,2038503.0,1784230.0,254273.0,3900,3408,492,0.12473516104710167,0.500941076559922,0.15635347577988812,0.19876728496281965,0.3822460728188479,0.24201626144283317,0,0,0.0,0,0,0,0,23415,8037454.0,8104.0,0.30815429687499996,350200.0,0.0,478,0.000146484375,127001.0,0.0,288,0.0009765624999999999,209140.0,0.0,468,0.0,239294.0,0.0,345,0.500941076559922,431608.0,173582.0,480,0.40559962030418284,381004.0,80691.0,481,0.035009765625,165032.0,0.0,483,0.0,135224.0,0.0,222
13,2071828.0,1741074.0,330754.0,3939,3326,613,0.15964356114503706,0.47023590278864175,0.16874672673880414,0.20832176703467728,0.3961901851379585,0.24231234446102645,0,0,0.0,0,0,0,0,23298,7856625.0,6566.0,0.37481513039078307,318866.0,42792.0,482,0.0,128793.0,0.0,299,0.002587890625,164385.0,0.0,367,0.000244140625,217253.0,0.0,325,0.4600009057310085,389307.0,124693.0,477,0.47023590278864175,479400.0,163269.0,487,0.042089843749999994,192499.0,0.0,474,0.0,181325.0,0.0,287
14,2024758.0,1787974.0,236784.0,3752,3341,411,0.11694434594158902,0.4230528935935559,0.15881681424589777,0.19283118825634732,0.4041681684573866,0.21109176997942458,0,0,0.0,0,0,0,0,23381,7881630.0,7078.0,0.4205108901028619,313854.0,75615.0,478,0.000732421875,125877.0,0.0,296,0.01923828125,232697.0,0.0,480,0.00087890625,203696.0,0.0,310,0.3771660427707645,336436.0,52120.0,477,0.4230528935935559,443450.0,109049.0,482,0.0287109375,175116.0,0.0,479,0.000244140625,193632.0,0.0,328
15,2170033.0,1933226.0,236807.0,3906,3461,445,0.10912599024991781,0.4724913313392274,0.15566683039087542,0.1940619990643819,0.3915231881898258,0.1977463591567501,0,0,0.0,0,0,0,0,23415,8116648.0,6551.0,0.3759671456188197,305925.0,46600.0,481,0.0,137877.0,0.0,319,0.0,162681.0,0.0,453,0.00029296875,296551.0,0.0,432,0.4724913313392274,414879.0,142964.0,483,0.35942499429395625,395551.0,47243.0,478,0.036767578125,242473.0,0.0,483,0.000390625,214096.0,0.0,386
16,2335392.0,1869842.0,465550.0,4307,3466,841,0.1993455488414792,0.5315255826420304,0.18325674384457835,0.22786051597416512,0.39276818173589595,0.22428429574135733,0,0,0.0,0,0,0,0,23743,8141297.0,7849.0,0.45288885377536037,350123.0,107094.0,484,0.001708984375,145351.0,0.0,326,0.00390625,187659.0,0.0,417,0.000146484375,255966.0,0.0,383,0.5315255826420304,506140.0,234517.0,485,0.44194224871423593,435235.0,123939.0,483,0.032666015624999996,242675.0,0.0,488,0.0012695312499999998,212243.0,0.0,381
17,2269252.0,1892514.0,376738.0,4219,3563,656,0.16601858233461944,0.47991753457089775,0.17848965670922975,0.2142539014827701,0.40968632868701843,0.21613741003643483,0,0,0.0,0,0,0,0,23922,8346922.0,8688.0,0.44823242541780056,322507.0,95549.0,477,0.000146484375,119497.0,0.0,308,0.0072265624999999995,203182.0,0.0,459,0.00087890625,243712.0,0.0,391,0.47991753457089775,458912.0,165043.0,475,0.4329215905601397,435457.0,116146.0,473,0.058300781249999996,280157.0,0.0,473,0.00029296875,205828.0,0.0,387
18,2294132.0,1851409.0,442723.0,4257,3499,758,0.19298061314693304,0.5194632096111768,0.1843424766330285,0.2189148160072805,0.4148928386721832,0.25410296791989295,0,0,0.0,0,0,0,0,23505,8153171.0,6338.0,0.4110585951377959,315248.0,70022.0,477,0.000390625,86532.0,0.0,226,0.023828125000000002,224852.0,0.0,480,0.001318359375,270008.0,0.0,428,0.5194632096111768,521060.0,228707.0,475,0.4610637114402553,447145.0,143994.0,486,0.057324218749999996,247846.0,0.0,482,0.00029296875,181441.0,0.0,325
19,2518843.0,1938069.0,580774.0,4587,3561,1026,0.23057173472106035,0.5488968725837838,0.19934659590872544,0.23777221586813022,0.412767514426616,0.22796354318232614,0,0,0.0,0,0,0,0,23531,8283877.0,7673.0,0.5488968725837838,450084.0,224049.0,487,0.000146484375,172892.0,0.0,349,0.016650390625,204601.0,0.0,475,0.001025390625,276940.0,0.0,454,0.5084318824659138,535266.0,223133.0,481,0.4537526059701058,433200.0,133592.0,481,0.06508789062499999,268290.0,0.0,477,0.00078125,177570.0,0.0,310
20,2439546.0,1917504.0,522042.0,4419,3478,941,0.21399145578726525,0.5349144728573151,0.19263302095941026,0.231037431366384,0.41009186880927595,0.2320645931661054,0,0,0.0,0,0,0,0,23452,8333584.0,6523.0,0.5349144728573151,421679.0,198117.0,483,0.000390625,182440.0,0.0,316,0.027294921875000003,220148.0,0.0,473,0.00029296875,277042.0,0.0,449,0.532877085535564,550578.0,256434.0,479,0.3868468280324029,388782.0,67491.0,483,0.058300781249999996,248002.0,0.0,491,0.000146484375,150875.0,0.0,280
21,2503525.0,1980346.0,523179.0,4406,3495,911,0.20897694251105933,0.5071864737612594,0.19406659224711648,0.22759596401013316,0.42098255265280404,0.21512592244934647,0,0,0.0,0,0,0,0,23466,8388824.0,8645.0,0.4886170456867269,395519.0,149435.0,473,0.002490234375,209724.0,0.0,364,0.03056640625,225829.0,0.0,480,0.00029296875,251389.0,0.0,390,0.5071864737612594,530761.0,219933.0,478,0.4639557810289455,469342.0,153811.0,480,0.059277343749999996,246906.0,0.0,476,0.000146484375,174055.0,0.0,311
22,2388674.0,1958918.0,429756.0,4413,3644,769,0.1799140443610136,0.518852270430813,0.1874835513800841,0.2131634129808972,0.43616626329274055,0.20644068633894785,0,0,0.0,0,0,0,0,23626,8252804.0,7501.0,0.46290914039442216,368301.0,120215.0,486,0.009423828125,246231.0,0.0,446,0.030957031249999996,199163.0,0.0,478,0.0005371093749999999,251815.0,0.0,390,0.518852270430813,550115.0,240949.0,490,0.39081207834043763,358572.0,68592.0,476,0.08623046875,258074.0,0.0,476,0.000146484375,156403.0,0.0,277
23,2226040.0,1885697.0,340343.0,4061,3467,594,0.152891682090169,0.5181398074002164,0.17526442406077375,0.202005336190845,0.4294742368131222,0.20270401699879614,0,0,0.0,0,0,0,0,23491,8217720.0,6457.0,0.4172282299713392,325993.0,76463.0,479,0.000146484375,212617.0,0.0,436,0.045703125,223550.0,0.0,481,0.000146484375,208134.0,0.0,286,0.5181398074002164,527406.0,230251.0,485,0.35024344886463443,355750.0,33629.0,475,0.069873046875,191423.0,0.0,477,0.0006347656249999999,181167.0,0.0,328
24,2254079.0,1905734.0,348345.0,4045,3449,596,0.15453983644761335,0.5321795548557874,0.17263555094865307,0.20242458383647619,0.4210732077149584,0.21382253017751385,0,0,0.0,0,0,0,0,23397,8124668.0,5776.0,0.37333690135352526,286922.0,42168.0,479,0.0006347656249999999,182460.0,0.0,349,0.041699218749999996,221177.0,0.0,475,0.000146484375,259247.0,0.0,407,0.5321795548557874,539301.0,250324.0,483,0.3720523263799119,386800.0,55853.0,476,0.05888671875,176336.0,0.0,478,0.0021484375,201836.0,0.0,357
25,2262651.0,1832029.0,430622.0,4092,3312,780,0.19031746389522725,0.5030233851168785,0.183975401245973,0.2173716285517352,0.4173623994323669,0.23000614102660988,0,0,0.0,0,0,0,0,3312,1832029.0,3405.0,0.4458381744184269,331977.0,96765.0,477,0.00043945312499999996,191492.0,0.0,357,0.02724609375,174483.0,0.0,484,0.0006347656249999999,235365.0,0.0,347,0.5030233851168785,522592.0,212503.0,475,0.43954321293247856,431654.0,121354.0,483,0.055078125,196744.0,0.0,482,0.0,178344.0,0.0,340
26,2465356.0,1964344.0,501012.0,4319,3471,848,0.20322095470187665,0.5430556393346937,0.18466302877364899,0.22471203440009987,0.4030977984575484,0.24633105725907334,0,0,0.0,0,0,0,0,3471,1964344.0,3073.0,0.45460371298179425,322544.0,99733.0,482,0.002880859375,227207.0,0.0,428,0.012451171875,169785.0,0.0,483,0.00043945312499999996,311281.0,0.0,447,0.5430556393346937,617465.0,300217.0,478,0.41563120599770387,435897.0,101062.0,473,0.04775390625,181535.0,0.0,485,0.00048828125,199642.0,0.0,330
