epoch,bucket,queue,bytes
0,0,5,5630.0
0,1,2,4414.0
0,2,0,5480.0
0,3,4,10611.0
0,4,1,4671.0
0,5,4,3318.0
0,6,2,3214.0
0,7,3,7046.0
0,8,1,5902.0
0,9,0,1479.0
0,10,0,4424.0
0,11,0,917.0
0,12,6,7042.0
0,13,7,1717.0
0,14,4,2183.0
0,15,2,1096.0
0,16,1,2821.0
0,17,3,4514.0
0,18,3,1022.0
0,19,4,894.0
0,20,3,5813.0
0,21,4,4143.0
0,22,4,6809.0
0,23,4,4704.0
0,24,6,5948.0
0,25,0,3227.0
0,26,6,6175.0
0,27,5,325.0
0,28,3,2508.0
0,29,1,3539.0
0,30,3,0.0
0,31,7,4639.0
0,32,7,7292.0
0,33,4,5924.0
0,34,0,5208.0
0,35,1,5319.0
0,36,6,3006.0
0,37,4,3159.0
0,38,7,15215.0
0,39,1,6731.0
0,40,6,6484.0
0,41,4,5487.0
0,42,6,7687.0
0,43,0,4640.0
0,44,3,3183.0
0,45,2,3757.0
0,46,5,1092.0
0,47,5,1077.0
0,48,2,4165.0
0,49,5,5678.0
0,50,1,6805.0
0,51,2,6575.0
0,52,4,4806.0
0,53,3,10924.0
0,54,1,4817.0
0,55,6,7167.0
0,56,6,2421.0
0,57,5,6728.0
0,58,6,1399.0
0,59,2,4208.0
0,60,1,862.0
0,61,5,4637.0
0,62,1,7961.0
0,63,7,521.0
0,64,1,9458.0
0,65,4,9148.0
0,66,6,4050.0
0,67,0,7529.0
0,68,3,2349.0
0,69,6,3349.0
0,70,0,1416.0
0,71,1,4743.0
0,72,2,3088.0
0,73,5,4530.0
0,74,1,3128.0
0,75,2,6100.0
0,76,3,412.0
0,77,7,4525.0
0,78,4,2040.0
0,79,0,5709.0
0,80,1,1420.0
0,81,6,1635.0
0,82,6,512.0
0,83,7,2505.0
0,84,1,2132.0
0,85,5,8192.0
0,86,6,1219.0
0,87,2,5005.0
0,88,4,5195.0
0,89,5,9650.0
0,90,0,8604.0
0,91,7,1451.0
0,92,4,3457.0
0,93,3,425.0
0,94,0,1349.0
0,95,6,573.0
0,96,4,3868.0
0,97,7,6371.0
0,98,5,3886.0
0,99,0,2822.0
0,100,5,256.0
0,101,2,3903.0
0,102,3,8400.0
0,103,0,2054.0
0,104,1,4090.0
0,105,0,3871.0
0,106,3,3852.0
0,107,0,6206.0
0,108,1,3392.0
0,109,3,4745.0
0,110,3,1354.0
0,111,7,4139.0
0,112,6,13228.0
0,113,5,4804.0
0,114,3,3979.0
0,115,5,3971.0
0,116,0,1412.0
0,117,1,3876.0
0,118,1,6538.0
0,119,3,2929.0
0,120,5,2211.0
0,121,1,1406.0
0,122,4,5058.0
0,123,4,1403.0
0,124,4,5399.0
0,125,5,4691.0
0,126,0,1625.0
0,127,1,4871.0
1,0,5,1393.0
1,1,2,3745.0
1,2,0,1919.0
1,3,4,7027.0
1,4,1,5565.0
1,5,4,2001.0
1,6,2,4363.0
1,7,3,891.0
1,8,1,620.0
1,9,0,2608.0
1,10,0,2962.0
1,11,0,3636.0
1,12,6,2586.0
1,13,7,10742.0
1,14,4,1769.0
1,15,2,1233.0
1,16,1,1725.0
1,17,3,1483.0
1,18,3,357.0
1,19,4,556.0
1,20,3,2820.0
1,21,4,904.0
1,22,4,1393.0
1,23,4,8753.0
1,24,6,836.0
1,25,0,1596.0
1,26,6,9140.0
1,27,5,955.0
1,28,3,1181.0
1,29,1,2901.0
1,30,3,0.0
1,31,7,4376.0
1,32,7,2028.0
1,33,4,1802.0
1,34,0,5400.0
1,35,1,4310.0
1,36,6,1058.0
1,37,4,1464.0
1,38,7,7313.0
1,39,1,2660.0
1,40,6,5497.0
1,41,4,2123.0
1,42,6,3560.0
1,43,0,2020.0
1,44,3,432.0
1,45,2,2164.0
1,46,5,10812.0
1,47,5,1157.0
1,48,2,2264.0
1,49,5,1544.0
1,50,1,9665.0
1,51,2,5680.0
1,52,4,5219.0
1,53,3,7206.0
1,54,1,4077.0
1,55,6,1674.0
1,56,6,2982.0
1,57,5,2445.0
1,58,6,544.0
1,59,2,1187.0
1,60,1,601.0
1,61,5,7916.0
1,62,1,2747.0
1,63,7,4609.0
1,64,1,2774.0
1,65,4,3249.0
1,66,6,3273.0
1,67,0,4080.0
1,68,3,181.0
1,69,6,4259.0
1,70,0,1697.0
1,71,1,3131.0
1,72,2,2122.0
1,73,5,1028.0
1,74,1,3154.0
1,75,2,1633.0
1,76,3,672.0
1,77,7,2154.0
1,78,4,911.0
1,79,0,2127.0
1,80,1,2640.0
1,81,6,64.0
1,82,6,3583.0
1,83,7,3703.0
1,84,1,2131.0
1,85,5,2776.0
1,86,6,309.0
1,87,2,1627.0
1,88,4,5654.0
1,89,5,1368.0
1,90,0,3229.0
1,91,7,280.0
1,92,4,2721.0
1,93,3,903.0
1,94,0,5791.0
1,95,6,613.0
1,96,4,1438.0
1,97,7,5167.0
1,98,5,3561.0
1,99,0,154.0
1,100,5,263.0
1,101,2,2544.0
1,102,3,6864.0
1,103,0,661.0
1,104,1,763.0
1,105,0,714.0
1,106,3,541.0
1,107,0,2482.0
1,108,1,200.0
1,109,3,6534.0
1,110,3,2984.0
1,111,7,3776.0
1,112,6,1180.0
1,113,5,1493.0
1,114,3,4077.0
1,115,5,2414.0
1,116,0,152.0
1,117,1,1508.0
1,118,1,2823.0
1,119,3,2296.0
1,120,5,1818.0
1,121,1,64.0
1,122,4,1919.0
1,123,4,1651.0
1,124,4,3683.0
1,125,5,3067.0
1,126,0,3412.0
1,127,1,2474.0
2,0,5,2765.0
2,1,2,1358.0
2,2,0,2747.0
2,3,4,4213.0
2,4,1,3082.0
2,5,4,512.0
2,6,2,2430.0
2,7,3,3737.0
2,8,1,1551.0
2,9,0,636.0
2,10,0,2985.0
2,11,0,388.0
2,12,6,3816.0
2,13,7,8865.0
2,14,4,2339.0
2,15,2,1408.0
2,16,1,968.0
2,17,3,525.0
2,18,3,793.0
2,19,4,140.0
2,20,3,679.0
2,21,4,2433.0
2,22,4,1650.0
2,23,4,3812.0
2,24,6,315.0
2,25,0,1681.0
2,26,6,10495.0
2,27,5,0.0
2,28,3,2496.0
2,29,1,281.0
2,30,3,253.0
2,31,7,6209.0
2,32,7,1726.0
2,33,4,1692.0
2,34,0,1083.0
2,35,1,2905.0
2,36,6,1380.0
2,37,4,219.0
2,38,7,5862.0
2,39,1,950.0
2,40,6,1191.0
2,41,4,4347.0
2,42,6,1344.0
2,43,0,1731.0
2,44,3,3375.0
2,45,2,292.0
2,46,5,6121.0
2,47,5,1738.0
2,48,2,2353.0
2,49,5,2868.0
2,50,1,7556.0
2,51,2,3855.0
2,52,4,3664.0
2,53,3,7029.0
2,54,1,979.0
2,55,6,2086.0
2,56,6,2858.0
2,57,5,4003.0
2,58,6,276.0
2,59,2,0.0
2,60,1,804.0
2,61,5,3705.0
2,62,1,2084.0
2,63,7,3947.0
2,64,1,1991.0
2,65,4,3398.0
2,66,6,2403.0
2,67,0,1754.0
2,68,3,588.0
2,69,6,4869.0
2,70,0,2205.0
2,71,1,3807.0
2,72,2,3982.0
2,73,5,2324.0
2,74,1,2481.0
2,75,2,2330.0
2,76,3,1688.0
2,77,7,4655.0
2,78,4,2198.0
2,79,0,2969.0
2,80,1,3092.0
2,81,6,152.0
2,82,6,372.0
2,83,7,10527.0
2,84,1,1836.0
2,85,5,3207.0
2,86,6,224.0
2,87,2,4174.0
2,88,4,3206.0
2,89,5,1226.0
2,90,0,2339.0
2,91,7,1772.0
2,92,4,913.0
2,93,3,877.0
2,94,0,12299.0
2,95,6,547.0
2,96,4,1365.0
2,97,7,1531.0
2,98,5,8933.0
2,99,0,1561.0
2,100,5,212.0
2,101,2,9506.0
2,102,3,3435.0
2,103,0,1729.0
2,104,1,665.0
2,105,0,474.0
2,106,3,1051.0
2,107,0,2863.0
2,108,1,2295.0
2,109,3,5847.0
2,110,3,726.0
2,111,7,1787.0
2,112,6,1441.0
2,113,5,2216.0
2,114,3,1760.0
2,115,5,969.0
2,116,0,500.0
2,117,1,1397.0
2,118,1,3198.0
2,119,3,1960.0
2,120,5,1726.0
2,121,1,0.0
2,122,4,1485.0
2,123,4,3179.0
2,124,4,3218.0
2,125,5,3713.0
2,126,0,1415.0
2,127,1,4265.0
3,0,5,1084.0
3,1,2,3180.0
3,2,0,723.0
3,3,4,4083.0
3,4,1,5464.0
3,5,4,524.0
3,6,2,1436.0
3,7,3,1471.0
3,8,1,829.0
3,9,0,369.0
3,10,0,4664.0
3,11,0,632.0
3,12,6,5159.0
3,13,7,6997.0
3,14,4,0.0
3,15,2,1049.0
3,16,1,3921.0
3,17,3,362.0
3,18,3,1754.0
3,19,4,364.0
3,20,3,2080.0
3,21,4,2985.0
3,22,4,1843.0
3,23,4,3041.0
3,24,6,462.0
3,25,0,2259.0
3,26,6,6254.0
3,27,5,0.0
3,28,3,2038.0
3,29,1,4078.0
3,30,3,143.0
3,31,7,1338.0
3,32,7,607.0
3,33,4,704.0
3,34,0,2858.0
3,35,1,1044.0
3,36,6,1519.0
3,37,4,3970.0
3,38,7,10572.0
3,39,1,2401.0
3,40,6,2601.0
3,41,4,683.0
3,42,6,4913.0
3,43,0,2109.0
3,44,3,3669.0
3,45,2,321.0
3,46,5,5905.0
3,47,5,1185.0
3,48,2,3314.0
3,49,5,10603.0
3,50,1,7421.0
3,51,2,2333.0
3,52,4,1088.0
3,53,3,2431.0
3,54,1,330.0
3,55,6,3487.0
3,56,6,1213.0
3,57,5,4035.0
3,58,6,148.0
3,59,2,64.0
3,60,1,722.0
3,61,5,847.0
3,62,1,5828.0
3,63,7,1921.0
3,64,1,3030.0
3,65,4,583.0
3,66,6,2671.0
3,67,0,4163.0
3,68,3,822.0
3,69,6,2299.0
3,70,0,1127.0
3,71,1,472.0
3,72,2,2422.0
3,73,5,522.0
3,74,1,743.0
3,75,2,2761.0
3,76,3,1708.0
3,77,7,1936.0
3,78,4,2858.0
3,79,0,4292.0
3,80,1,2331.0
3,81,6,2018.0
3,82,6,791.0
3,83,7,7826.0
3,84,1,3382.0
3,85,5,1428.0
3,86,6,187.0
3,87,2,3136.0
3,88,4,2764.0
3,89,5,1985.0
3,90,0,2947.0
3,91,7,168.0
3,92,4,1342.0
3,93,3,88.0
3,94,0,12012.0
3,95,6,486.0
3,96,4,3455.0
3,97,7,2664.0
3,98,5,4139.0
3,99,0,278.0
3,100,5,795.0
3,101,2,12032.0
3,102,3,4161.0
3,103,0,1770.0
3,104,1,3331.0
3,105,0,1849.0
3,106,3,2215.0
3,107,0,3384.0
3,108,1,1851.0
3,109,3,3307.0
3,110,3,2396.0
3,111,7,755.0
3,112,6,1687.0
3,113,5,5140.0
3,114,3,5151.0
3,115,5,1295.0
3,116,0,2585.0
3,117,1,1509.0
3,118,1,2919.0
3,119,3,2741.0
3,120,5,1892.0
3,121,1,0.0
3,122,4,1630.0
3,123,4,332.0
3,124,4,3181.0
3,125,5,2629.0
3,126,0,973.0
3,127,1,972.0
4,0,5,4096.0
4,1,2,1411.0
4,2,0,3956.0
4,3,4,1302.0
4,4,1,3923.0
4,5,4,1596.0
4,6,2,397.0
4,7,3,1186.0
4,8,1,975.0
4,9,0,2116.0
4,10,0,2914.0
4,11,0,1352.0
4,12,6,4188.0
4,13,7,10530.0
4,14,4,64.0
