epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,725291.0,199291.0,526000.0,4217,2515,1702,0.7252261506071346,0.4500598136163109,0.39964406535728836,0.03043732981380528,0.9942329393474509,0.1254773945905847,0,0.2660713658363256,1702,0.39997332698034993,73276.0,54903.0,179,0.3313283961082247,63073.0,40299.0,305,0.40796774445900047,68983.0,54487.0,319,0.41005593616049857,117698.0,90882.0,331,0.3955094781636822,90875.0,69115.0,335,0.4024263286318455,102348.0,76588.0,297,0.3998314987383942,89420.0,51692.0,337,0.4500598136163109,119618.0,88034.0,339
11,681111.0,198736.0,482375.0,3771,2435,1336,0.7082178969360343,0.44638119204310767,0.39535102085496965,0.03512896573353907,0.9921666124785706,0.12148368621267291,0,0.2654704196228462,1336,0.35944702052739336,52299.0,37291.0,306,0.32393757174802956,81911.0,44885.0,290,0.4138329643615117,73381.0,60133.0,234,0.40397021754555057,104820.0,81556.0,339,0.3947462314832678,72675.0,56035.0,254,0.40713929066676063,88441.0,70746.0,334,0.41335367846413573,93039.0,50240.0,332,0.44638119204310767,114545.0,81489.0,337
12,778902.0,199767.0,579135.0,4712,2595,2117,0.7435274270704135,0.47906520047798895,0.420167489009714,0.03087037286872114,0.9946309083457581,0.08506911010627771,0,0.28790541215807225,2117,0.40493413862471217,82957.0,62445.0,163,0.37289564425092797,80057.0,53209.0,331,0.39523623699256233,91342.0,67886.0,223,0.4167095624716451,105816.0,85089.0,271,0.4213229316775867,93942.0,74582.0,192,0.4185915309247579,110688.0,87456.0,234,0.45258466665753116,86692.0,52548.0,339,0.47906520047798895,127408.0,95920.0,333
13,668020.0,196579.0,471441.0,4140,2491,1649,0.705728870393101,0.486124666465123,0.40275306859283766,0.04419799299237118,0.9881005056694715,0.052111463728630625,0,0.2628225772456529,1649,0.38195639507366697,75767.0,52663.0,231,0.35093658309399095,69506.0,43266.0,336,0.37074922756338236,97242.0,62618.0,299,0.4086094345089157,89699.0,71070.0,251,0.36307185326935615,81610.0,55993.0,307,0.40373711597739737,83658.0,65738.0,277,0.45683927279086867,84223.0,49424.0,336,0.486124666465123,86315.0,70669.0,328
14,728489.0,199121.0,529368.0,4183,2543,1640,0.7266657423790878,0.48210756078070915,0.4170951112993393,0.038717289499261134,0.9914569380969253,0.127928321498334,0,0.2861693775587604,1640,0.37919601381515017,82880.0,58752.0,332,0.35831470438456703,85942.0,50166.0,336,0.4061372259405054,81392.0,62512.0,336,0.40822868301459636,126856.0,91432.0,301,0.437344692395947,65025.0,55105.0,171,0.4029051625748682,115615.0,85012.0,288,0.48210756078070915,67070.0,44824.0,330,0.4625268474883711,103709.0,81565.0,337
15,712294.0,199264.0,513030.0,4035,2522,1513,0.7202503460649665,0.46633022392842105,0.4061314853716066,0.036969240690382175,0.9917820406795709,0.06178523194074348,0,0.28038448795554877,1513,0.3844222891003868,76493.0,55629.0,297,0.3587753464459458,76040.0,43112.0,341,0.37691355248395286,91277.0,65197.0,331,0.43072825767099365,99877.0,82821.0,337,0.37942650728241717,98467.0,69539.0,310,0.39779860588420596,91258.0,69530.0,332,0.46633022392842105,78016.0,47392.0,335,0.45465710017652977,100866.0,79810.0,338
16,729977.0,199200.0,530777.0,4245,2557,1688,0.7271146899148867,0.4775662540688505,0.40961285653584323,0.03386900320161506,0.9932095498697825,0.14198204189995,0,0.31455423328301896,1688,0.37613824081333636,92187.0,62139.0,318,0.3966317510869628,53115.0,36859.0,332,0.3834635884980669,91752.0,66792.0,318,0.4047387932522824,104980.0,82580.0,316,0.3889253951504866,79066.0,59162.0,302,0.3957519862737576,110475.0,82155.0,331,0.4775662540688505,68201.0,44361.0,335,0.45368684314300295,130201.0,96729.0,335
17,695099.0,199232.0,495867.0,3807,2486,1321,0.7133760802418062,0.46356251994354547,0.40395398584497577,0.03511795759848206,0.9924989036134866,0.10290998116814998,0,0.2838413355087977,1321,0.3810925888460514,66458.0,48570.0,337,0.37364194165568826,54684.0,37404.0,337,0.37946152339119055,97011.0,65107.0,293,0.42220218172642593,100769.0,82049.0,215,0.37580445129099926,95420.0,65820.0,308,0.3808159020974219,99494.0,71046.0,337,0.46356251994354547,78542.0,46318.0,337,0.4550507778084835,102721.0,79553.0,331
18,634278.0,199584.0,434694.0,3765,2472,1293,0.6853367135546232,0.4495852421963699,0.3898334966985797,0.04021177445631943,0.9894718607311579,0.11814850901339757,0,0.26967501832358737,1293,0.36647536555626076,56423.0,39559.0,210,0.31511784153804506,63010.0,35170.0,330,0.387455359808994,99943.0,67111.0,337,0.3776143933287125,93991.0,67047.0,300,0.37745408379777756,62888.0,46056.0,296,0.4025151155924068,83043.0,63811.0,269,0.4495852421963699,73956.0,39300.0,335,0.44245057177007063,101024.0,76640.0,337
19,720736.0,199196.0,521540.0,4088,2523,1565,0.7236214092261234,0.51207603125429,0.4175127785866099,0.04623667562800264,0.9878845416003975,0.0909868523287305,0,0.3112343878568674,1565,0.40054901336535176,64612.0,50568.0,218,0.35883630780601794,84896.0,51584.0,331,0.40647314181834304,82973.0,61181.0,328,0.4446283835017071,90978.0,79810.0,217,0.38143788834063924,87552.0,61952.0,264,0.38435630317488256,91708.0,67676.0,330,0.51207603125429,87336.0,55560.0,337,0.4517451594316476,130681.0,93209.0,332
