epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,173545.0,640.0,172905.0,141,5,136,0.9963121956841108,0.4999999999999856,0.49881138297950445,0.0016818946153933526,0.9999886309988486,0.34032887723645056,0,0,0.0,0,0,0,136,2520,199931.0,65536.0,0.49598544724625215,31884.0,31628.0,2,0.49841940184237243,40491.0,40363.0,2,0.4999999999998751,4003.0,4003.0,0,0.49999999999995803,11918.0,11918.0,1,0.4999999999999583,12000.0,12000.0,0,0.4999999999999856,34628.0,34628.0,1,0.4960862147477043,31525.0,31269.0,2,0.4999999999999295,7096.0,7096.0,0
11,183098.0,1366.0,181732.0,145,4,141,0.9925395143584257,0.4999999999999886,0.48395445460329345,0.03974542551627809,0.993300445062372,0.3212104992954583,0,0,0.0,0,0,0,141,2439,200102.0,65536.0,0.4999999999999843,31884.0,31884.0,0,0.4999999999999886,43884.0,43884.0,0,0.37891106328715696,4565.0,3455.0,0,0.4999999999999614,12970.0,12970.0,0,0.4999999999999583,12000.0,12000.0,0,0.4983958185548649,34626.0,34498.0,0,0.4999999999999843,31884.0,31884.0,1,0.4943287549844489,11285.0,11157.0,1
12,190158.0,256.0,189902.0,156,2,154,0.9986537510911927,0.499999999999988,0.49910234245024115,0.0019119386340665974,0.9999853254712027,0.3286346091145249,0,0,0.0,0,0,0,154,2597,200023.0,65536.0,0.49999999999998646,36736.0,36736.0,0,0.4986348064869871,39768.0,39640.0,0,0.49999999999987765,4086.0,4086.0,2,0.4941839331151859,11004.0,10876.0,1,0.49999999999996275,13425.0,13425.0,0,0.499999999999988,41582.0,41582.0,1,0.4999999999999843,31884.0,31884.0,0,0.49999999999995715,11673.0,11673.0,0
13,164505.0,3418.0,161087.0,132,11,121,0.9792225160329414,0.4999999999999876,0.48486109116421244,0.030274740208135916,0.996116384086669,0.3239240448618572,0,0,0.0,0,0,0,121,2502,199997.0,65536.0,0.4978112175102429,29240.0,29112.0,1,0.4999999999999876,40315.0,40315.0,1,0.4999999999998834,4292.0,4292.0,0,0.49281437512691634,8614.0,8486.0,0,0.49999999999995937,12311.0,12311.0,0,0.48943692898802366,29286.0,28653.0,3,0.49345797343850056,29177.0,28781.0,2,0.40536823425018587,11270.0,9137.0,2
14,185820.0,597.0,185223.0,148,5,143,0.9967872134323486,0.49999999999998634,0.4946225371517062,0.011939879893832382,0.9994176297672118,0.35222527176837715,0,0,0.0,0,0,0,143,2548,199718.0,65536.0,0.4983959253079012,34628.0,34500.0,0,0.49741578637361905,45256.0,45000.0,1,0.4631396357324691,1153.0,1068.0,1,0.49999999999996153,13009.0,13009.0,1,0.49999999999995515,11151.0,11151.0,0,0.4980289497997999,32470.0,32342.0,2,0.49999999999998634,36469.0,36469.0,1,0.4999999999999572,11684.0,11684.0,0
15,184387.0,908.0,183479.0,149,7,142,0.9950755747422487,0.49999999999998673,0.49778848038796497,0.0031237039381091423,0.99996062381469,0.32562287471459395,0,0,0.0,0,0,0,142,2529,200172.0,65536.0,0.4999999999999859,35282.0,35282.0,1,0.49678133172398675,39768.0,39512.0,3,0.49999999999949546,991.0,991.0,0,0.49999999999996025,12594.0,12594.0,0,0.4917419818737219,15055.0,14799.0,1,0.49999999999998673,37545.0,37545.0,0,0.49378452950662294,30652.0,30256.0,2,0.49999999999996,12500.0,12500.0,0
16,185294.0,954.0,184340.0,145,7,138,0.9948514253024869,0.49999999999996997,0.4977946260909703,0.002397486842286396,0.9999768045307001,0.34298331300527707,0,0,0.0,0,0,0,138,2564,200154.0,65536.0,0.49580492920816416,30512.0,30256.0,2,0.49732736002157973,43884.0,43628.0,1,0.49999999999927536,690.0,690.0,0,0.49999999999995437,10960.0,10960.0,0,0.49263436805832045,12380.0,12194.0,1,0.49850245445506325,36746.0,36618.0,0,0.49808789698543526,33471.0,33343.0,2,0.49999999999996997,16651.0,16651.0,0
17,193198.0,512.0,192686.0,150,4,146,0.9973498690462583,0.4999999999999856,0.49919300235062236,0.001195365093259278,0.9999942658847166,0.34131046905247375,0,0,0.0,0,0,0,146,2490,199744.0,65536.0,0.4999999999999856,34628.0,34628.0,0,0.49858582287430403,45256.0,45128.0,2,0.4999999999990177,509.0,509.0,0,0.49999999999996003,12513.0,12513.0,0,0.4999999999999583,12000.0,12000.0,1,0.4984617861728758,37989.0,37861.0,1,0.49649640975890835,34154.0,33898.0,1,0.499999999999969,16149.0,16149.0,0
18,167441.0,617.0,166824.0,128,4,124,0.9963151199526938,0.4999999999999841,0.49832196872905776,0.0020955953433848397,0.999982315668509,0.33834828387312443,0,0,0.0,0,0,0,124,2476,200201.0,65536.0,0.4999999999999841,31500.0,31500.0,0,0.49831063245696083,37884.0,37756.0,1,0.49999999999972927,1847.0,1847.0,0,0.4999999999999642,13969.0,13969.0,0,0.4999999999999452,9128.0,9128.0,0,0.49662822870500645,33113.0,32880.0,1,0.49787573021772114,30128.0,30000.0,2,0.49376115845315094,9872.0,9744.0,0
19,189373.0,742.0,188631.0,152,6,146,0.9960818068045552,0.4999999999999877,0.43480698276983626,0.16437912458294998,0.8749505418320569,0.36528900635254136,0,0,0.0,0,0,0,146,2529,199938.0,65535.0,0.4961552324882706,33292.0,33036.0,2,0.4985416096982842,43884.0,43756.0,1,0.0,0.0,0.0,0,0.499999999999959,12196.0,12196.0,0,0.49472686825405826,12137.0,12009.0,1,0.4999999999999877,40359.0,40359.0,1,0.49999999999998657,37158.0,37158.0,0,0.48903215171814396,10347.0,10117.0,2
