epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
24,507289.0,411516.0,95773.0,2901,2245,656,0.18879376450110255,0.5617159184207348,0.34106213783685546,0.16789699079603,0.8049349042975399,0.3180970314751548,1,0.0,0,0.5481838628190705,19744.0,10720.0,249,0.32503268024114,20320.0,1440.0,249,0.4790826642091459,137607.0,49407.0,247,0.2470703125,105739.0,0.0,251,0.3319136176297528,56723.0,3554.0,249,0.5617159184207348,58768.0,30652.0,250,0.06313476562499999,60320.0,0.0,250,0.17236328125,48068.0,0.0,248
25,504933.0,489128.0,15805.0,2441,2361,80,0.031301182533128094,0.36327034544141507,0.26105820724267687,0.06333883745323589,0.9444064485403877,0.33999436558909757,0,0.0,0,0.30039062499999997,32928.0,0.0,251,0.27817382812499997,14752.0,0.0,247,0.36327034544141507,124997.0,15805.0,250,0.24321289062499998,102764.0,0.0,250,0.286376953125,66172.0,0.0,249,0.28564453125,29012.0,0.0,252,0.17099609375,99960.0,0.0,252,0.160400390625,34348.0,0.0,250
26,451656.0,378751.0,72905.0,2910,2395,515,0.1614170961971054,0.6027059693139767,0.29686534577362206,0.12240795940230065,0.8546861596246006,0.342978395061728,1,0.0,0,0.28403320312499997,18496.0,0.0,248,0.275830078125,21952.0,0.0,253,0.6027059693139767,120461.0,72905.0,250,0.284716796875,91892.0,0.0,254,0.271875,27919.0,0.0,252,0.28271484375,36180.0,0.0,247,0.17236328125,80496.0,0.0,248,0.20068359375,54260.0,0.0,249
27,461125.0,461125.0,0.0,2432,2432,0,0.0,0.31962890625,0.27037353515624996,0.04172948770531305,0.9767333546580637,0.3370937923556516,0,0.0,0,0.30405273437499997,30496.0,0.0,251,0.258251953125,12288.0,0.0,251,0.27524414062499997,47649.0,0.0,256,0.31962890625,90140.0,0.0,249,0.285791015625,90273.0,0.0,249,0.277001953125,37324.0,0.0,250,0.272216796875,120879.0,0.0,246,0.17080078125,32076.0,0.0,247
28,515123.0,461460.0,53663.0,2638,2368,270,0.10417511934042917,0.544576713241143,0.3026729192332679,0.10077360949491578,0.9002093155944534,0.26724175585248533,0,0.0,0,0.299462890625,45668.0,0.0,252,0.25458984375,21376.0,0.0,251,0.2736328125,86581.0,0.0,254,0.544576713241143,110589.0,53663.0,252,0.2912109375,62335.0,0.0,248,0.26484375,42474.0,0.0,252,0.322998046875,105832.0,0.0,251,0.170068359375,40268.0,0.0,251
29,680145.0,432891.0,247254.0,3969,2386,1583,0.3635313058244927,0.6507480137050907,0.4002089539575992,0.16481888621228755,0.854989020515335,0.30333513441986604,2,0.0,0,0.4979511121597655,59004.0,23210.0,249,0.273876953125,30816.0,0.0,245,0.3728774761138132,114292.0,13087.0,250,0.6252994202039843,141774.0,92238.0,248,0.3547956094781399,79988.0,7399.0,250,0.265576171875,52730.0,0.0,252,0.6507480137050907,163281.0,111320.0,245,0.160546875,38260.0,0.0,249
30,506368.0,395590.0,110778.0,2290,1665,625,0.21876974848331604,0.5520066752894317,0.35004863696007577,0.12167221727157379,0.8922067496004954,0.26274122772371045,1,0.0,0,0.34639894268381166,36110.0,4430.0,252,0.24785156249999998,22916.0,0.0,251,0.5520066752894317,121973.0,63227.0,244,0.33288946605054837,78575.0,5652.0,252,0.4195743441422834,87787.0,20977.0,250,0.27407226562500003,63676.0,0.0,254,0.477595839389531,45752.0,16492.0,253,0.15,49579.0,0.0,247
31,449100.0,411052.0,38048.0,2168,1918,250,0.084720552215542,0.5063249964376295,0.30830348038681443,0.08788969287693406,0.9248401803244107,0.2271710086840344,0,0.0,0,0.266162109375,12512.0,0.0,247,0.23291015625,31397.0,0.0,249,0.269677734375,52230.0,0.0,250,0.37734667629180196,78224.0,12857.0,250,0.3165452328650837,77198.0,2939.0,249,0.277880859375,58824.0,0.0,255,0.5063249964376295,54388.0,22252.0,253,0.219580078125,84327.0,0.0,250
32,527088.0,470848.0,56240.0,2722,2345,377,0.10669945056612916,0.5151932433062627,0.32191985568809656,0.09382249235566857,0.9217089350014452,0.19569360334517172,0,0.0,0,0.31596679687499996,41440.0,0.0,251,0.240966796875,57760.0,0.0,250,0.243017578125,41991.0,0.0,246,0.4294038834485099,120846.0,30556.0,251,0.29282226562499997,52829.0,0.0,249,0.3025390625,63512.0,0.0,252,0.5151932433062627,59636.0,25684.0,246,0.23544921875,89074.0,0.0,254
33,641018.0,414248.0,226770.0,3733,2076,1657,0.35376541688376867,0.6904684970813011,0.4088905126501574,0.1772816212577104,0.8417644863870906,0.23231562920229987,2,0.0,0,0.48298497745646296,38592.0,13920.0,250,0.251904296875,45343.0,0.0,253,0.23085937499999998,89060.0,0.0,249,0.6657879647184424,146268.0,107049.0,255,0.287255859375,60604.0,0.0,252,0.4241189900700528,67822.0,17293.0,252,0.6904684970813011,113364.0,88508.0,249,0.237744140625,79965.0,0.0,249
34,609880.0,479124.0,130756.0,3108,2303,805,0.21439627467698527,0.6137490059959518,0.3814562656757037,0.14172177459793583,0.8787089616835192,0.24546550141011325,2,0.0,0,0.3417841114171711,21056.0,1920.0,250,0.23906249999999998,41509.0,0.0,251,0.256005859375,130498.0,0.0,252,0.6137490059959518,107166.0,67686.0,249,0.307275390625,69728.0,0.0,252,0.4009580537293973,66016.0,14142.0,249,0.6119558292631091,75344.0,47008.0,248,0.28085937499999997,98563.0,0.0,251
35,621288.0,526082.0,95206.0,2801,2264,537,0.15323972135305983,0.5135107732882113,0.37349304708197123,0.10064888920271664,0.9322971011903352,0.2569549065811667,0,0.0,0,0.5135107732882113,40192.0,17312.0,247,0.27543945312499996,41362.0,0.0,247,0.27377929687499997,143329.0,0.0,252,0.46505989237440293,127990.0,42652.0,250,0.40507713347827423,59341.0,12662.0,249,0.2865234375,55569.0,0.0,252,0.4954098587648817,57776.0,22580.0,249,0.27314453125,95729.0,0.0,249
36,603364.0,532661.0,70703.0,2699,2284,415,0.11718133663924245,0.5057257715316377,0.3367846017724195,0.07493817517228342,0.9528246885642742,0.259375352192043,0,0.0,0,0.2900390625,18400.0,0.0,249,0.269921875,45661.0,0.0,250,0.28583984375,109063.0,0.0,248,0.29384765625,88861.0,0.0,250,0.4014249429758,101492.0,21777.0,251,0.3041015625,78304.0,0.0,251,0.3433760996719181,39472.0,3644.0,245,0.5057257715316377,122111.0,45282.0,250
37,598427.0,455855.0,142572.0,3098,2154,944,0.23824459792088215,0.5738898634497086,0.39361928518665157,0.11238633335449348,0.9246229819482285,0.21171859725580533,1,0.0,0,0.2830078125,17984.0,0.0,255,0.37512463904195764,71273.0,7507.0,255,0.26425781249999997,63681.0,0.0,255,0.29580078125,103742.0,0.0,249,0.5738898634497086,130316.0,70430.0,250,0.4981426465083826,74431.0,29823.0,248,0.519330702614625,65516.0,29200.0,252,0.3394000236285387,71484.0,5612.0,244
38,482777.0,435742.0,47035.0,2462,2077,385,0.09742593371266631,0.5143543537376828,0.34693880112874276,0.07071396312184779,0.9601133891485046,0.25252212719330003,0,0.0,0,0.28125,22240.0,0.0,252,0.3877775468824751,43883.0,8141.0,252,0.33185416430616776,121355.0,1948.0,249,0.27978515625,81240.0,0.0,251,0.32640327435543376,38844.0,2404.0,250,0.331645795208832,53416.0,3386.0,249,0.5143543537376828,66388.0,28312.0,247,0.32244011828935093,55411.0,2844.0,255
39,503300.0,345516.0,157784.0,3258,2093,1165,0.31349890721239754,0.5652170336174202,0.43538116065913857,0.10223703736858365,0.94774033616332,0.17522650506656046,2,0.0,0,0.4111097275698402,44672.0,8832.0,250,0.3574046889321705,34912.0,4581.0,250,0.5538085205518277,98726.0,50115.0,251,0.278466796875,74370.0,0.0,252,0.5162662159412092,69870.0,29798.0,248,0.3214770071953711,40890.0,1984.0,249,0.5652170336174202,66000.0,35144.0,250,0.4792992945902696,73860.0,27330.0,247
40,422239.0,335444.0,86795.0,2390,1785,605,0.2055589370001345,0.5892407645471269,0.3740193217152643,0.09722893443340103,0.9367000291172748,0.2538873126357344,1,0.0,0,0.2933053595915122,13856.0,192.0,246,0.28256835937499997,23444.0,0.0,251,0.5892407645471269,68654.0,40057.0,246,0.26572265624999997,62392.0,0.0,250,0.39273247190732385,45049.0,8421.0,252,0.3707205727340104,78415.0,11183.0,249,0.3754918457201783,45808.0,6876.0,248,0.42237254359696325,84621.0,20066.0,253
41,443193.0,365761.0,77432.0,2084,1484,600,0.17471395080698437,0.60340457095871,0.3428341365535088,0.11393129261269533,0.9005456743883432,0.23472138549119648,1,0.0,0,0.257373046875,4992.0,0.0,252,0.30283203125,55793.0,0.0,249,0.279052734375,63051.0,0.0,251,0.239208984375,54319.0,0.0,252,0.32090103329925423,34235.0,2073.0,247,0.2982421875,64135.0,0.0,254,0.60340457095871,84144.0,51084.0,248,0.4416585037951063,82524.0,24275.0,251
