epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,141000.0,141000.0,0.0,94,94,0,0.0,0.00048828125,0.0001220703125,0.00017263349150062197,0.33663303655471477,0.18882978723404142,94,2001.1274492634118,1277.4321273815294,5384.233599904317,6063.469724178612,6249.800784098596,6270.504235200817,0,0.051462607898664504,0,0.000244140625,28500.0,0.0,18,0.0,16500.0,0.0,11,0.0,18000.0,0.0,12,0.0,12000.0,0.0,8,0.00048828125,9000.0,0.0,4,0.0,13500.0,0.0,9,0.0,21000.0,0.0,14,0.000244140625,22500.0,0.0,14
11,82500.0,82500.0,0.0,55,55,0,0.0,0.000244140625,6.103515625e-05,0.0001057159916729051,0.2559005376780183,0.15227272727272534,55,939.8945993044922,911.3497088612057,1408.2269126046506,1658.5043214235013,1731.001773959063,1739.0570464630146,0,0.0,0,0.0,10500.0,0.0,8,0.0,9000.0,0.0,6,0.000244140625,9000.0,0.0,5,0.0,7500.0,0.0,5,0.0,12000.0,0.0,10,0.0,7500.0,0.0,5,0.000244140625,9000.0,0.0,5,0.0,18000.0,0.0,13
12,144000.0,144000.0,0.0,96,96,0,0.0,0.000732421875,0.00021972656249999998,0.00024777567297588427,0.4416568494229508,0.1328124999999989,96,3455.071546850637,2914.153184061317,8363.1816820901,8962.46718920896,9267.53694050087,9301.433579533303,0,0.07264502960697275,0,0.00048828125,24000.0,0.0,14,0.000732421875,24000.0,0.0,13,0.000146484375,13500.0,0.0,9,0.000244140625,15000.0,0.0,9,0.0,13500.0,0.0,9,0.0,15000.0,0.0,10,0.000146484375,15000.0,0.0,10,0.0,24000.0,0.0,16
13,85500.0,85500.0,0.0,57,57,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.1820175438596472,57,1123.3502717219271,952.4114336752682,2441.5736726008463,2870.9085228821373,2988.2870494683907,3001.3291079779738,0,0.0,0,0.0,13500.0,0.0,11,0.0,10500.0,0.0,10,0.0,12000.0,0.0,9,0.0,4500.0,0.0,4,0.0,9000.0,0.0,6,0.000244140625,7500.0,0.0,4,0.0,12000.0,0.0,9,0.0,16500.0,0.0,11
14,90000.0,90000.0,0.0,60,60,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.19999999999999818,60,945.0023780619105,907.034462348005,1412.477904767834,1563.0387670008517,1583.599657396386,1585.8842007736675,0,0.012228860834427419,0,0.0,18000.0,0.0,12,0.0,7500.0,0.0,5,0.0,12000.0,0.0,8,0.0,7500.0,0.0,5,0.0,10500.0,0.0,7,0.0,6000.0,0.0,5,0.0,16500.0,0.0,11,0.0,12000.0,0.0,8
15,99000.0,99000.0,0.0,66,66,0,0.0,0.00048828125,0.0001220703125,0.00017263349150062197,0.3366330365547148,0.2310606060606042,66,1023.8693852652681,996.0481849285134,1515.2378360216098,1620.0181299986307,1723.8723875291405,1735.4117494769744,0,0.04262478257158151,0,0.0,16500.0,0.0,11,0.0,16500.0,0.0,11,0.0,7500.0,0.0,5,0.0,9000.0,0.0,6,0.000244140625,10500.0,0.0,6,0.0,6000.0,0.0,4,0.000244140625,10500.0,0.0,6,0.00048828125,22500.0,0.0,13
16,337300.0,287604.0,1500.0,237,202,1,0.004447079750963521,0.023554816738820476,0.00661866849860256,0.006468233357381525,0.5114934799853732,0.07426400830121516,202,15589.104731899031,15377.13973219652,31488.85255938572,32941.054610983374,33388.35509668838,33450.79917761369,0,0.2566556596196835,1,0.00439453125,44529.0,0.0,9,0.00537109375,42944.0,0.0,5,0.00537109375,53223.0,0.0,13,0.023554816738820476,36799.0,1500.0,6,0.0030761718750000003,31289.0,0.0,7,0.004638671875,42610.0,0.0,7,0.002587890625,41641.0,0.0,12,0.003955078125,44265.0,0.0,12
17,82500.0,82500.0,0.0,55,55,0,0.0,0.0008789062499999999,0.00040283203125,0.0002715893000645384,0.687454491901433,0.252272727272725,55,14017.893644135824,14059.014534221846,20234.77993771747,21580.177976356055,22785.60117618473,22919.53708727681,0,0.0,0,0.0008789062499999999,16500.0,0.0,23,0.000732421875,10500.0,0.0,24,0.00029296875,7500.0,0.0,25,0.000146484375,3000.0,0.0,14,0.000146484375,7500.0,0.0,17,0.000146484375,7500.0,0.0,23,0.00029296875,12000.0,0.0,17,0.0005859375,18000.0,0.0,25
18,93000.0,93000.0,0.0,62,62,0,0.0,0.00029296875,9.1552734375e-05,0.00010194881035455362,0.45093080259665397,0.19354838709677225,62,1513.8647432476264,1013.2116978694103,3932.3955191824807,4374.169293358235,4393.946501860548,4396.143969471916,0,0.0,0,0.0,15000.0,0.0,16,0.000146484375,9000.0,0.0,10,0.00029296875,13500.0,0.0,9,0.0,7500.0,0.0,6,0.0,6000.0,0.0,5,0.000146484375,9000.0,0.0,6,0.000146484375,15000.0,0.0,11,0.0,18000.0,0.0,16
19,106500.0,106500.0,0.0,71,71,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.1461267605633787,71,1132.0494750435005,987.2525475993752,2429.611020909855,2881.5158762684555,2991.0154027851263,3003.182016842533,0,0.026051937295388475,0,0.0,19500.0,0.0,13,0.0,16500.0,0.0,12,0.0,10500.0,0.0,9,0.0,10500.0,0.0,7,0.0,13500.0,0.0,9,0.0,9000.0,0.0,7,0.0,10500.0,0.0,8,0.0,16500.0,0.0,11
