config,sl_drop_ratio,sl_mean_Pmax,sl_p99_Pmax,sl_mean_fairness,sl_mean_imbalance,sl_total_reassign,sf_drop_ratio,sf_mean_Pmax,sf_mean_fairness,sf_mean_imbalance,sf_handoffs_committed
ewma_greedy,0.24898982198804473,0.5601711451818772,0.6699229472645645,0.9046093389751875,0.26925232700879503,200,0.031661552748507654,0.3390443121908581,0.6809000132752935,0.41424169077106593,42
reactive_greedy,0.23670476935278484,0.5582385573788654,0.6796408978491291,0.9097957133438747,0.24077485080450453,180,0.040737464360098494,0.348237692254569,0.6408330927547463,0.40756766719409154,55
reactive_oneshot,0.2287233131426187,0.5542464346320046,0.6813260162718693,0.9156371714275917,0.25537240006602285,391,0.04577351314421882,0.34623952750686715,0.6561388473565491,0.42400286058735287,53
static,0.2733851369497862,0.5984701057807978,0.6863431496008415,0.6267901121095011,0.2650321799288255,0,0.17212909046124952,0.4866449195106656,0.44194397516587175,0.4728891955541543,0
