epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
26,209876.0,209876.0,0.0,324,324,0,0.0,0.21987304687499998,0.056097412109374994,0.07355289498574515,0.36776356028838103,0.5201845375364491,0,0,0.0,0,0,0,0,2237,542097.0,8006.0,0.085546875,0.0,0.0,48,0.0016113281250000001,16208.0,0.0,32,0.003173828125,42199.0,0.0,43,0.110888671875,38293.0,0.0,49,0.21987304687499998,76688.0,0.0,51,0.0,0.0,0.0,0,0.0067382812499999995,2394.0,0.0,48,0.020947265625,34094.0,0.0,51
27,239643.0,239643.0,0.0,400,400,0,0.0,0.23710937499999998,0.058734130859375,0.08023823966512766,0.34888468008510065,0.5612259694629087,0,0,0.0,0,0,0,0,2170,569381.0,7369.0,0.078662109375,0.0,0.0,47,0.003955078125000001,26505.0,0.0,48,0.000146484375,20012.0,0.0,29,0.12709960937499998,58854.0,0.0,47,0.23710937499999998,93093.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,46,0.022900390625,41179.0,0.0,46
28,234032.0,234032.0,0.0,382,382,0,0.0,0.255810546875,0.06066284179687499,0.08460010924285741,0.33957478289905485,0.5334644407602371,0,0,0.0,0,0,0,0,2246,620511.0,7948.0,0.074267578125,10647.0,0.0,49,0.007666015625,28735.0,0.0,46,0.0,21256.0,0.0,17,0.12275390624999999,27356.0,0.0,47,0.255810546875,104114.0,0.0,46,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.024804687500000002,41924.0,0.0,49
29,255709.0,255709.0,0.0,430,430,0,0.0,0.269189453125,0.06361083984375,0.08717319477133179,0.34746339524298153,0.5029843493971655,0,0,0.0,0,0,0,0,2809,699609.0,7861.0,0.075,25726.0,0.0,49,0.0171875,41872.0,0.0,48,0.0,31539.0,0.0,37,0.117919921875,10426.0,0.0,48,0.269189453125,99030.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.029589843749999997,47116.0,0.0,49
30,182654.0,182654.0,0.0,259,259,0,0.0,0.27041015625,0.06264648437499999,0.087989608974791,0.3363929299143183,0.5484563710622259,0,0,0.0,0,0,0,0,2218,598603.0,7696.0,0.085205078125,44410.0,0.0,50,0.011572265625,18382.0,0.0,46,0.000244140625,24128.0,0.0,16,0.110888671875,0.0,0.0,48,0.27041015625,71606.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0228515625,24128.0,0.0,47
31,200426.0,200426.0,0.0,318,318,0,0.0,0.27626953125,0.06408081054687499,0.08880728893273686,0.3423971720107045,0.5527476475108011,0,0,0.0,0,0,0,0,2235,586067.0,8069.0,0.08540039062499999,32089.0,0.0,48,0.009228515625,16314.0,0.0,51,0.0,22628.0,0.0,17,0.10400390625,0.0,0.0,47,0.27626953125,68362.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.037744140625,61033.0,0.0,49
32,136925.0,136925.0,0.0,160,160,0,0.0,0.283154296875,0.06134033203124999,0.0909119887797735,0.31283665806754646,0.672044002190979,0,0,0.0,0,0,0,0,2275,570537.0,7787.0,0.07646484375,0.0,0.0,49,0.006298828125,13804.0,0.0,49,0.0,21384.0,0.0,17,0.09682617187499999,0.0,0.0,49,0.283154296875,74758.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.027978515625,26979.0,0.0,47
33,144248.0,144248.0,0.0,179,179,0,0.0,0.289501953125,0.059942626953125,0.09256487381336274,0.2954557912175344,0.6373398591314943,0,0,0.0,0,0,0,0,2139,550241.0,6613.0,0.06943359375,0.0,0.0,48,0.007275390625,22496.0,0.0,48,0.000244140625,24128.0,0.0,16,0.089794921875,0.0,0.0,48,0.289501953125,74868.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.023291015624999998,22756.0,0.0,49
34,150937.0,150937.0,0.0,200,200,0,0.0,0.29594726562499996,0.058483886718749996,0.09445069955972639,0.27714906197157074,0.6543433684252355,0,0,0.0,0,0,0,0,2401,609680.0,8096.0,0.062548828125,0.0,0.0,47,0.003662109375,12258.0,0.0,50,0.0035644531250000003,43791.0,0.0,47,0.082763671875,0.0,0.0,48,0.29594726562499996,70410.0,0.0,47,0.00048828125,1850.0,0.0,2,0.0,0.0,0.0,0,0.018896484374999998,22628.0,0.0,46
35,242118.0,242118.0,0.0,390,390,0,0.0,0.304345703125,0.060565185546875,0.0960140547146749,0.28464361491429446,0.43523612453431726,0,0,0.0,0,0,0,0,2582,768952.0,9516.0,0.06572265625,27749.0,0.0,50,0.0,0.0,0.0,25,0.00732421875,49246.0,0.0,48,0.075732421875,0.0,0.0,48,0.304345703125,76620.0,0.0,48,0.010302734375,41681.0,0.0,49,0.006591796875,24066.0,0.0,24,0.014501953125,22756.0,0.0,47
