config,sl_drop_ratio,sl_mean_Pmax,sl_p99_Pmax,sl_mean_fairness,sl_mean_imbalance,sl_total_reassign,sl_rate_err_max,sl_mean_lat_p99_us,sl_mean_lat_p999_us,sl_worst_lat_p99_us,sl_worst_lat_max_us,sf_drop_ratio,sf_mean_Pmax,sf_mean_fairness,sf_mean_imbalance,sf_handoffs_committed,sf_rate_err_max,sf_mean_lat_p99_us,sf_mean_lat_p999_us,sf_worst_lat_p99_us,sf_worst_lat_max_us
pred_greedy,0.34228600873911597,0.0894542660063575,0.4999999999999166,0.37077844421610656,0.3970869222505795,21,0.3680626105322897,11.744750145121793,11.819645953082127,35.294858284249905,35.71748265625536,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
pred_oneshot,0.34228600873911597,0.09530327748983669,0.49999999999996664,0.36003903724570113,0.41932755645107456,48,0.3680626105322897,12.1003212555974,12.176663035400274,81.54713189360767,81.76523542230576,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
pred_qp_greedy,0.34228600873911597,0.08745086925524437,0.49999999999998673,0.33676551454162285,0.46575557098666936,304,0.3680626105322897,12.748994955560057,12.832302110461486,130.58926939613997,131.0677522721067,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
pred_qp_oneshot,0.34228600873911597,0.09386300900666882,0.49999999999998673,0.3111938208691646,0.5012667958885081,328,0.3680626105322897,12.73661311426045,12.824654288004892,115.90682867650301,116.33802865678072,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
qp_greedy,0.34228600873911597,0.090522596020926,0.4999999999999524,0.33994028987849345,0.47412837573950956,682,0.3680626105322897,12.169697483844056,12.251205294693312,72.84333337467089,73.18075604714453,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
qp_oneshot,0.34228600873911597,0.09682029892638128,0.49999999999998673,0.31697719242474875,0.5023953961295833,534,0.3680626105322897,18.69917663265334,18.790257708740242,411.39575896157766,411.71788160218296,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
static,0.34228600873911597,0.08783379012776035,0.49999999999983336,0.37575302324095183,0.3736149264596528,0,0.3680626105322897,11.729486610541985,11.802084202549882,35.14435696993172,35.27158075230569,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
