epoch,bucket,queue,bytes
0,0,0,15364.0
0,1,1,0.0
0,2,2,23456.0
0,3,3,6496.0
0,4,4,0.0
0,5,5,0.0
0,6,6,6080.0
0,7,7,5536.0
0,8,0,12357.0
0,9,1,9824.0
0,10,2,21920.0
0,11,3,7520.0
0,12,4,0.0
0,13,5,10464.0
0,14,6,12000.0
0,15,7,12640.0
0,16,0,9256.0
0,17,1,17184.0
0,18,2,0.0
0,19,3,0.0
0,20,4,0.0
0,21,5,11264.0
0,22,6,5056.0
0,23,7,14372.0
0,24,0,0.0
0,25,1,5312.0
0,26,2,12000.0
0,27,3,0.0
0,28,4,0.0
0,29,5,16608.0
0,30,6,0.0
0,31,7,25984.0
0,32,0,12000.0
0,33,1,5632.0
0,34,2,3872.0
0,35,3,3424.0
0,36,4,12000.0
0,37,5,1472.0
0,38,6,17996.0
0,39,7,12000.0
0,40,0,0.0
0,41,1,1184.0
0,42,2,0.0
0,43,3,12000.0
0,44,4,0.0
0,45,5,0.0
0,46,6,12000.0
0,47,7,640.0
0,48,0,18304.0
0,49,1,0.0
0,50,2,8352.0
0,51,3,0.0
0,52,4,10624.0
0,53,5,0.0
0,54,6,0.0
0,55,7,4704.0
0,56,0,0.0
0,57,1,14272.0
0,58,2,3584.0
0,59,3,13024.0
0,60,4,0.0
0,61,5,22628.0
0,62,6,24832.0
0,63,7,16516.0
0,64,0,7360.0
0,65,1,12000.0
0,66,2,10628.0
0,67,3,3104.0
0,68,4,1152.0
0,69,5,0.0
0,70,6,5632.0
0,71,7,11040.0
0,72,0,11840.0
0,73,1,13514.0
0,74,2,21376.0
0,75,3,0.0
0,76,4,3136.0
0,77,5,0.0
0,78,6,3744.0
0,79,7,12000.0
0,80,0,16128.0
0,81,1,0.0
0,82,2,0.0
0,83,3,15264.0
0,84,4,12000.0
0,85,5,0.0
0,86,6,3040.0
0,87,7,11058.0
0,88,0,20552.0
0,89,1,12192.0
0,90,2,7136.0
0,91,3,6304.0
0,92,4,4800.0
0,93,5,18464.0
0,94,6,0.0
0,95,7,6688.0
0,96,0,0.0
0,97,1,0.0
0,98,2,2720.0
0,99,3,0.0
0,100,4,12000.0
0,101,5,4640.0
0,102,6,0.0
0,103,7,0.0
0,104,0,7808.0
0,105,1,6688.0
0,106,2,674.0
0,107,3,10112.0
0,108,4,13408.0
0,109,5,22628.0
0,110,6,1687.0
0,111,7,0.0
0,112,0,0.0
0,113,1,0.0
0,114,2,0.0
0,115,3,4224.0
0,116,4,14432.0
0,117,5,0.0
0,118,6,0.0
0,119,7,0.0
0,120,0,0.0
0,121,1,4608.0
0,122,2,5024.0
0,123,3,0.0
0,124,4,12640.0
0,125,5,1056.0
0,126,6,4000.0
0,127,7,17696.0
1,0,0,12012.0
1,1,1,0.0
1,2,2,5792.0
1,3,3,7516.0
1,4,4,0.0
1,5,5,0.0
1,6,6,7232.0
1,7,7,0.0
1,8,0,10628.0
1,9,1,0.0
1,10,2,14752.0
1,11,3,7192.0
1,12,4,0.0
1,13,5,10400.0
1,14,6,10628.0
1,15,7,16640.0
1,16,0,11497.0
1,17,1,10752.0
1,18,2,0.0
1,19,3,0.0
1,20,4,0.0
1,21,5,0.0
1,22,6,3200.0
1,23,7,10628.0
1,24,0,0.0
1,25,1,5792.0
1,26,2,12000.0
1,27,3,0.0
1,28,4,0.0
1,29,5,2592.0
1,30,6,0.0
1,31,7,6002.0
1,32,0,10628.0
1,33,1,3840.0
1,34,2,5257.0
1,35,3,5920.0
1,36,4,10628.0
1,37,5,0.0
1,38,6,30052.0
1,39,7,11153.0
1,40,0,0.0
1,41,1,6144.0
1,42,2,0.0
1,43,3,12000.0
1,44,4,0.0
1,45,5,0.0
1,46,6,10628.0
1,47,7,8000.0
1,48,0,9800.0
1,49,1,0.0
1,50,2,0.0
1,51,3,0.0
1,52,4,0.0
1,53,5,0.0
1,54,6,0.0
1,55,7,5531.0
1,56,0,0.0
1,57,1,2912.0
1,58,2,5856.0
1,59,3,10628.0
1,60,4,0.0
1,61,5,22628.0
1,62,6,14986.0
1,63,7,14720.0
1,64,0,21632.0
1,65,1,12000.0
1,66,2,12000.0
1,67,3,4000.0
1,68,4,2752.0
1,69,5,0.0
1,70,6,4519.0
1,71,7,9984.0
1,72,0,3616.0
1,73,1,10628.0
1,74,2,11520.0
1,75,3,0.0
1,76,4,3584.0
1,77,5,0.0
1,78,6,3424.0
1,79,7,12000.0
1,80,0,5504.0
1,81,1,0.0
1,82,2,0.0
1,83,3,10688.0
1,84,4,12000.0
1,85,5,0.0
1,86,6,4128.0
1,87,7,10628.0
1,88,0,26976.0
1,89,1,6176.0
1,90,2,7985.0
1,91,3,6784.0
1,92,4,2016.0
1,93,5,3904.0
1,94,6,0.0
1,95,7,7328.0
1,96,0,0.0
1,97,1,0.0
1,98,2,96.0
1,99,3,0.0
1,100,4,13990.0
1,101,5,4864.0
1,102,6,0.0
1,103,7,0.0
1,104,0,6240.0
1,105,1,2304.0
1,106,2,1040.0
1,107,3,4960.0
1,108,4,3179.0
1,109,5,21256.0
1,110,6,0.0
1,111,7,0.0
1,112,0,0.0
1,113,1,0.0
1,114,2,0.0
1,115,3,3808.0
1,116,4,3008.0
1,117,5,0.0
1,118,6,0.0
1,119,7,0.0
1,120,0,0.0
1,121,1,4704.0
1,122,2,8128.0
1,123,3,0.0
1,124,4,16653.0
1,125,5,2528.0
1,126,6,3552.0
1,127,7,16928.0
2,0,0,14062.0
2,1,1,0.0
2,2,2,13625.0
2,3,3,8441.0
2,4,4,0.0
2,5,5,0.0
2,6,6,2208.0
2,7,7,0.0
2,8,0,9965.0
2,9,1,3072.0
2,10,2,11524.0
2,11,3,3295.0
2,12,4,0.0
2,13,5,7712.0
2,14,6,10500.0
2,15,7,12712.0
2,16,0,10500.0
2,17,1,10848.0
2,18,2,0.0
2,19,3,0.0
2,20,4,0.0
2,21,5,1824.0
2,22,6,10944.0
2,23,7,10664.0
2,24,0,0.0
2,25,1,3520.0
2,26,2,9128.0
2,27,3,0.0
2,28,4,0.0
2,29,5,14272.0
2,30,6,0.0
2,31,7,9588.0
2,32,0,10500.0
2,33,1,19008.0
2,34,2,3744.0
2,35,3,0.0
2,36,4,10500.0
2,37,5,0.0
2,38,6,14660.0
2,39,7,7756.0
2,40,0,0.0
2,41,1,2048.0
2,42,2,0.0
2,43,3,7756.0
2,44,4,0.0
2,45,5,0.0
2,46,6,10500.0
2,47,7,2560.0
2,48,0,11240.0
2,49,1,0.0
2,50,2,11168.0
2,51,3,0.0
2,52,4,224.0
2,53,5,0.0
2,54,6,0.0
2,55,7,1833.0
2,56,0,0.0
2,57,1,7808.0
2,58,2,5504.0
2,59,3,9128.0
2,60,4,0.0
2,61,5,21000.0
2,62,6,11976.0
2,63,7,16452.0
2,64,0,4608.0
2,65,1,10500.0
2,66,2,9128.0
2,67,3,2080.0
2,68,4,7424.0
2,69,5,0.0
2,70,6,6104.0
2,71,7,11264.0
2,72,0,13856.0
2,73,1,10500.0
2,74,2,3443.0
2,75,3,0.0
2,76,4,0.0
2,77,5,0.0
2,78,6,2176.0
2,79,7,10500.0
2,80,0,9984.0
2,81,1,0.0
2,82,2,0.0
2,83,3,4448.0
2,84,4,9128.0
2,85,5,0.0
2,86,6,2752.0
2,87,7,10500.0
2,88,0,20232.0
2,89,1,1088.0
2,90,2,0.0
2,91,3,128.0
2,92,4,3584.0
2,93,5,14368.0
2,94,6,321.0
2,95,7,6496.0
2,96,0,0.0
2,97,1,0.0
2,98,2,576.0
2,99,3,574.0
2,100,4,10964.0
2,101,5,2880.0
2,102,6,0.0
2,103,7,0.0
2,104,0,6368.0
2,105,1,0.0
2,106,2,270.0
2,107,3,4704.0
2,108,4,4928.0
2,109,5,19628.0
2,110,6,0.0
2,111,7,374.0
2,112,0,0.0
2,113,1,0.0
2,114,2,0.0
2,115,3,5888.0
2,116,4,7072.0
2,117,5,0.0
2,118,6,0.0
2,119,7,0.0
2,120,0,0.0
2,121,1,4480.0
2,122,2,6752.0
2,123,3,3165.0
2,124,4,16939.0
2,125,5,224.0
