epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,714991.0,523515.0,191476.0,4062,3077,985,0.26780197233251846,0.6052372454209001,0.35302075625395013,0.1843633467115103,0.7857064873999116,0.14096104006903554,0,0.331318342559874,0.5621805177020613,120949.0,63480.0,333,0.47507463943106665,67673.0,23656.0,332,0.43528692872757313,73077.0,19944.0,330,0.27333984375,69355.0,0.0,331,0.045849609374999996,76124.0,0.0,334,0.254296875,79256.0,0.0,334,0.17290039062499998,90443.0,0.0,330,0.6052372454209001,138114.0,84396.0,335
11,700018.0,544241.0,155777.0,3810,3015,795,0.2225328491553071,0.5803042838352046,0.33476919120463683,0.1663069824507871,0.8020587960997034,0.13786895479830497,0,0.34756977074949097,0.463433546371194,106192.0,35364.0,329,0.514310228022264,80305.0,34538.0,335,0.3297734401584319,61714.0,3928.0,333,0.3138671875,73493.0,0.0,331,0.064892578125,79547.0,0.0,333,0.2587890625,75661.0,0.0,335,0.152783203125,76829.0,0.0,337,0.5803042838352046,146277.0,81947.0,339
12,719466.0,541607.0,177859.0,4070,3067,1003,0.24720973610983665,0.5492263490721142,0.36539925082621494,0.16771217977231748,0.8259918253150317,0.12417091287149051,0,0.3017719045873098,0.5179349943368383,119219.0,51475.0,334,0.5166669907796451,74221.0,32090.0,332,0.5492263490721142,93196.0,46472.0,332,0.298583984375,57914.0,0.0,341,0.07631835937499999,84298.0,0.0,332,0.2849609375,80052.0,0.0,336,0.18281250000000002,88999.0,0.0,332,0.4966898911711221,121567.0,47822.0,330
13,669826.0,486643.0,183183.0,3917,2948,969,0.2734784854574169,0.6177900588835132,0.37773710233317537,0.16324002528123413,0.8426333615747925,0.13601181500867376,0,0.32548905954030694,0.6177900588835132,121596.0,77284.0,328,0.4033498389322025,53772.0,11540.0,336,0.3961835678868031,68872.0,13168.0,333,0.49667801862251665,77095.0,31297.0,335,0.1021484375,80653.0,0.0,334,0.30615234375,81705.0,0.0,334,0.17983398437499998,72614.0,0.0,334,0.5197605687153672,113519.0,49894.0,333
14,692771.0,484245.0,208526.0,3866,2841,1025,0.30100278446990375,0.6247530628623561,0.388909034606981,0.1689495616240048,0.8412409536896716,0.1472728722766974,0,0.34775101234552575,0.4905513542834927,109447.0,41935.0,334,0.5300085444694964,75556.0,34912.0,331,0.3779637889520488,67904.0,10608.0,332,0.298583984375,54316.0,0.0,330,0.0861328125,77621.0,0.0,335,0.49263419816345366,88153.0,33403.0,330,0.21064453125,84980.0,0.0,334,0.6247530628623561,134794.0,87668.0,328
15,719492.0,497190.0,222302.0,4028,2827,1201,0.308970773823753,0.5561582211272418,0.4062975451440789,0.15507312254262332,0.8728479762589311,0.1175551639212109,0,0.340444584186008,0.5287549792142622,115990.0,52908.0,331,0.4606670412897086,66984.0,21328.0,338,0.5088450620343562,81977.0,34265.0,338,0.5002364943817732,79696.0,31597.0,337,0.10615234375,84953.0,0.0,332,0.38878496935528933,83018.0,14628.0,336,0.20078125,74946.0,0.0,334,0.5561582211272418,131928.0,67576.0,330
16,697785.0,443610.0,254175.0,3934,2513,1421,0.36425976482727435,0.5833607644632627,0.42487579075734516,0.16813941439150218,0.8645968579362027,0.1337025373145022,0,0.343325106712531,0.5833607644632627,127705.0,72448.0,337,0.5632560483870934,79360.0,41784.0,332,0.47466811488491933,72239.0,26696.0,330,0.45231443050629483,69080.0,21064.0,332,0.103759765625,75192.0,0.0,333,0.5071245438781241,93999.0,38939.0,334,0.1845703125,64389.0,0.0,331,0.5299523458140667,115821.0,53244.0,330
17,667821.0,461281.0,206540.0,3677,2608,1069,0.30927449121845474,0.6155848663046432,0.38729519891806086,0.16478975498833168,0.8467108802950981,0.17120811564775562,0,0.36203722400739186,0.6155848663046432,135144.0,85312.0,334,0.46483372610630785,61104.0,20144.0,333,0.29282226562499997,64116.0,0.0,331,0.4145258316646923,54935.0,14128.0,332,0.099169921875,76387.0,0.0,334,0.463197991747247,79021.0,26232.0,337,0.200439453125,74654.0,0.0,327,0.5477875348965968,122460.0,60724.0,333
18,666179.0,484468.0,181711.0,3907,2883,1024,0.2727660283497374,0.5796385800068331,0.38151530511586834,0.15484751529628024,0.858564765824211,0.12976298412288578,0,0.33753259950545295,0.47703368069497776,105531.0,37396.0,330,0.5541835256506287,80076.0,40708.0,336,0.40600911226111774,72892.0,15248.0,335,0.29130859374999996,54088.0,0.0,336,0.104296875,71120.0,0.0,331,0.4209020735633894,77659.0,18528.0,336,0.21875,79910.0,0.0,342,0.5796385800068331,124903.0,69831.0,334
19,727599.0,507547.0,220052.0,4144,3047,1097,0.30243581973037303,0.6061104728880282,0.396155036306054,0.15478426974875237,0.8675590394919585,0.16593360491149634,0,0.36910344123777356,0.6012990857990814,131510.0,79222.0,333,0.499762647837628,77035.0,30800.0,331,0.3477541267579269,66209.0,6136.0,329,0.3320704694501882,59359.0,3703.0,331,0.126171875,82278.0,0.0,334,0.38346419084057903,75291.0,13252.0,332,0.272607421875,93979.0,0.0,332,0.6061104728880282,141938.0,86939.0,333
