config,sl_drop_ratio,sl_mean_Pmax,sl_p99_Pmax,sl_mean_jain,sl_total_reassign,sf_drop_ratio,sf_mean_Pmax,sf_mean_jain,sf_handoffs_committed
current_only,0.350766278051032,0.585446784758645,0.6532569783118836,0.9571044713104786,18,0.0017056247329308221,0.0021180293756453473,0.5246413716924806,0
proposed,0.3745330225481275,0.6087055965612955,0.6725108819372995,0.854305789791482,1,0.0017056247329308221,0.002120568438145347,0.5111504410729839,0
reactive_no_pred,0.35690227554692505,0.5867304270628487,0.6657180051216245,0.9603871604075939,834,0.0017056247329308221,0.0021151973443953474,0.5233874713475092,0
static,0.3764540487464154,0.6093869896237909,0.6725108819372995,0.8520195631741896,0,0.0017056247329308221,0.0021200801568953473,0.5114400970857751,0
