epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
12,574762.0,496864.0,77898.0,3004,2325,679,0.13553088060797314,0.5388316841851732,0.2373059431454987,0.21706428545466075,0.5444605839185352,0.20370823053716114,0,0.283040506887307,0,0.200048828125,32192.0,0.0,249,0.5207119780770524,45888.0,20032.0,251,0.046728515625,114084.0,0.0,254,0.02265625,101863.0,0.0,252,0.5388316841851732,70592.0,34836.0,252,0.4644409922767639,70803.0,23030.0,247,0.020654296875000002,55780.0,0.0,249,0.08437499999999999,83560.0,0.0,247
13,480275.0,427248.0,53027.0,2200,1932,268,0.1104096611316431,0.48196498387943676,0.19581378561619817,0.17413682238183953,0.5583937267529493,0.287002498568528,0,0.2839160942336815,0,0.17958984375,16224.0,0.0,246,0.2933763480006289,12704.0,256.0,254,0.01845703125,67807.0,0.0,251,0.05234375,105182.0,0.0,248,0.43399121867451973,85703.0,22063.0,251,0.48196498387943676,84311.0,30708.0,251,0.0251953125,56136.0,0.0,249,0.081591796875,52208.0,0.0,250
14,547410.0,430453.0,116957.0,2825,2205,620,0.21365521272903268,0.5524256928488975,0.24626839294333924,0.22448326625883483,0.5461789822978764,0.2130816024551978,0,0.41069286679310046,0,0.192529296875,28800.0,0.0,249,0.4861450487410243,73552.0,25745.0,254,0.0,40488.0,0.0,200,0.055908203125,98823.0,0.0,250,0.544711167581792,110185.0,53927.0,250,0.5524256928488975,73882.0,37285.0,250,0.05634765625,70808.0,0.0,249,0.082080078125,50872.0,0.0,250
15,418671.0,348569.0,70102.0,1936,1539,397,0.16743934975195282,0.5655855918286533,0.22595649636663795,0.21063542562935988,0.5350492658358766,0.2384112465396453,0,0.276314791071884,0,0.221044921875,36320.0,0.0,253,0.38785513789275033,11712.0,2528.0,246,0.00341796875,35711.0,0.0,46,0.039404296875,82141.0,0.0,250,0.48663311621169975,75331.0,29222.0,249,0.5655855918286533,71532.0,38352.0,251,0.036767578125,52068.0,0.0,253,0.066943359375,53856.0,0.0,252
16,450755.0,433342.0,17413.0,2333,2237,96,0.03863074175549902,0.3844697634220104,0.17985057561588413,0.14101036456091157,0.6193027011591743,0.1256294993954583,0,0.2407149842585791,0,0.23466796874999998,49858.0,0.0,250,0.2736328125,25448.0,0.0,248,0.0,60235.0,0.0,201,0.030029296875,54954.0,0.0,250,0.3844697634220104,65997.0,10505.0,248,0.3551649196300627,64555.0,6908.0,249,0.08754882812499999,73892.0,0.0,250,0.073291015625,55816.0,0.0,250
17,556727.0,431001.0,125726.0,3367,2425,942,0.22583061356822962,0.5744429702154885,0.27231950560570584,0.2357299518137133,0.5716480425833054,0.1498694602561037,0,0.441213043994054,0,0.273388671875,42528.0,0.0,249,0.544503803940753,82776.0,37568.0,248,0.00048828125,45983.0,0.0,114,0.072998046875,93726.0,0.0,249,0.5656639581894054,75271.0,40170.0,250,0.5744429702154885,87428.0,47988.0,251,0.0580078125,50048.0,0.0,249,0.0890625,78967.0,0.0,250
18,496482.0,385934.0,110548.0,2907,2014,893,0.2226626544366156,0.6215511550021924,0.2682267178340102,0.23351212555116266,0.5688589366029917,0.139034748490378,1,0.3443869858405609,0,0.27724609375,29536.0,0.0,251,0.6215511550021924,63712.0,40992.0,251,0.00029296875,55644.0,0.0,100,0.06386718749999999,71576.0,0.0,250,0.4822814147697003,78898.0,28640.0,250,0.5467663291501891,81692.0,40916.0,252,0.05302734375,51144.0,0.0,251,0.10078124999999999,64280.0,0.0,253
19,489125.0,360944.0,128181.0,2893,2024,869,0.26206184513161207,0.6509368578296417,0.26584452988115614,0.2334404996668993,0.5646286410218494,0.23082366470738536,16,0.42017703952397284,0,0.28876953125,30624.0,0.0,253,0.5341188894831105,34592.0,16704.0,252,0.001025390625,59185.0,0.0,196,0.07041015625,54260.0,0.0,246,0.6509368578296417,131877.0,92561.0,249,0.439063772986497,68736.0,18916.0,253,0.048046874999999996,52356.0,0.0,251,0.09438476562499999,57495.0,0.0,252
20,492508.0,365944.0,126564.0,2998,2172,826,0.25697856684561415,0.5964802830671792,0.27743138398085865,0.23251582467191384,0.5874007962307112,0.19201007902409684,0,0.37898360004034637,0,0.309912109375,34048.0,0.0,253,0.5681679444586976,67218.0,35395.0,245,0.00029296875,43488.0,0.0,152,0.1119140625,71430.0,0.0,252,0.5964802830671792,107395.0,63681.0,247,0.49938292244599236,69068.0,27488.0,252,0.029150390624999998,39536.0,0.0,253,0.104150390625,60325.0,0.0,247
21,565919.0,414346.0,151573.0,2957,2011,946,0.2678351495532041,0.573124352538048,0.3006411724447224,0.2428751047377952,0.6050949885252684,0.19368915869585557,0,0.36776519092061777,0,0.44784694690608984,32160.0,9632.0,250,0.5600759970101215,55735.0,29007.0,252,0.01201171875,90770.0,0.0,199,0.07822265625,61134.0,0.0,253,0.5713965362285198,106972.0,58095.0,248,0.573124352538048,100392.0,54839.0,248,0.025048828125,51912.0,0.0,248,0.13740234375,66844.0,0.0,248
