epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
27,239643.0,239643.0,0.0,400,400,0,0.0,0.2375,0.058782958984375,0.08009074204765386,0.35009914149367305,0.5612259694629087,0,0,0.0,0,0,0,0,2474,635925.0,7982.0,0.078369140625,0.0,0.0,48,0.004345703125,26505.0,0.0,47,0.000146484375,20012.0,0.0,30,0.125732421875,58854.0,0.0,49,0.2375,93093.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,44,0.024169921875,41179.0,0.0,48
28,234032.0,234032.0,0.0,382,382,0,0.0,0.255615234375,0.060711669921874996,0.08439296932845335,0.34103673793065464,0.5334644407602371,0,0,0.0,0,0,0,0,2735,705824.0,8359.0,0.074267578125,10647.0,0.0,47,0.0072265625,28735.0,0.0,49,0.0,21256.0,0.0,17,0.12182617187499999,27356.0,0.0,46,0.255615234375,104114.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0267578125,41924.0,0.0,47
29,255709.0,255709.0,0.0,430,430,0,0.0,0.26943359375000003,0.06373291015625,0.08711802264341711,0.348619388854893,0.5029843493971655,0,0,0.0,0,0,0,0,3082,759824.0,9978.0,0.075244140625,25726.0,0.0,48,0.016552734375,41872.0,0.0,50,0.000244140625,31539.0,0.0,36,0.117041015625,10426.0,0.0,47,0.26943359375000003,99030.0,0.0,47,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.03134765625,47116.0,0.0,49
30,182654.0,182654.0,0.0,259,259,0,0.0,0.27080078125,0.06275634765624999,0.08804501261598868,0.336894359470929,0.5484563710622259,0,0,0.0,0,0,0,0,2419,656434.0,7696.0,0.08608398437499999,44410.0,0.0,47,0.01083984375,18382.0,0.0,48,0.000146484375,24128.0,0.0,17,0.10986328125,0.0,0.0,49,0.27080078125,71606.0,0.0,47,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02431640625,24128.0,0.0,49
31,200426.0,200426.0,0.0,318,318,0,0.0,0.276318359375,0.06412353515625,0.08874808158278613,0.3429978966980739,0.5527476475108011,0,0,0.0,0,0,0,0,2359,620380.0,10982.0,0.085986328125,32089.0,0.0,48,0.0087890625,16314.0,0.0,49,0.0,22628.0,0.0,17,0.10268554687499999,0.0,0.0,49,0.276318359375,68362.0,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.039208984375,61033.0,0.0,49
32,136925.0,136925.0,0.0,160,160,0,0.0,0.28305664062499997,0.061395263671875,0.09080152399288989,0.31374367315036034,0.672044002190979,0,0,0.0,0,0,0,0,2671,626494.0,6628.0,0.077197265625,0.0,0.0,48,0.005859375,13804.0,0.0,49,0.000244140625,21384.0,0.0,16,0.095654296875,0.0,0.0,48,0.28305664062499997,74758.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.029150390624999998,26979.0,0.0,49
33,144248.0,144248.0,0.0,179,179,0,0.0,0.28974609375,0.059930419921875,0.09259977751440206,0.29521410277311927,0.6373398591314943,0,0,0.0,0,0,0,0,3029,642192.0,6910.0,0.069873046875,0.0,0.0,50,0.006591796875,22496.0,0.0,49,0.000146484375,24128.0,0.0,17,0.088623046875,0.0,0.0,48,0.28974609375,74868.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.024462890625,22756.0,0.0,49
34,150937.0,150937.0,0.0,200,200,0,0.0,0.295849609375,0.058630371093749994,0.09425201078819823,0.2789989191703137,0.6543433684252355,0,0,0.0,0,0,0,0,2760,633324.0,6980.0,0.062841796875,0.0,0.0,48,0.003076171875,12258.0,0.0,50,0.0052734375,43791.0,0.0,40,0.081591796875,0.0,0.0,48,0.295849609375,70410.0,0.0,48,0.00048828125,1850.0,0.0,2,0.0,0.0,0.0,0,0.019921875,22628.0,0.0,47
35,242118.0,242118.0,0.0,390,390,0,0.0,0.30458984375,0.060809326171875,0.0959457185732142,0.286575803699202,0.43523612453431726,0,0,0.0,0,0,0,0,2618,741729.0,8849.0,0.066748046875,27749.0,0.0,47,0.0,0.0,0.0,21,0.007861328124999999,49246.0,0.0,50,0.0744140625,0.0,0.0,49,0.30458984375,76620.0,0.0,47,0.01103515625,41681.0,0.0,46,0.006591796875,24066.0,0.0,24,0.015234375,22756.0,0.0,49
36,278217.0,227177.0,51040.0,483,420,63,0.18345392265749333,0.6036070171365653,0.09994428534519566,0.1920583603211164,0.2130949713097651,0.44078048789254365,0,1,0.0,0,0,0,0,2874,750439.0,8936.0,0.070068359375,29546.0,0.0,51,0.001953125,12086.0,0.0,18,0.011865234375,44849.0,0.0,46,0.0673828125,0.0,0.0,48,0.6036070171365653,84029.0,51040.0,48,0.01650390625,39985.0,0.0,49,0.0,5448.0,0.0,42,0.028173828125,62274.0,0.0,46
