epoch,bucket,queue,bytes
0,0,2,0.0
0,1,5,0.0
0,2,4,4736199.0
0,3,3,0.0
0,4,0,0.0
0,5,7,0.0
0,6,7,0.0
0,7,7,0.0
0,8,0,2146157.0
0,9,5,6980778.0
0,10,0,0.0
0,11,0,0.0
0,12,6,0.0
0,13,3,4673758.0
0,14,2,4646832.0
0,15,5,0.0
0,16,5,0.0
0,17,5,0.0
0,18,6,90363844.0
0,19,7,0.0
0,20,6,0.0
0,21,0,4617037.0
0,22,7,0.0
0,23,5,4747623.0
0,24,1,2258102.0
0,25,4,0.0
0,26,1,4610474.0
0,27,5,2265282.0
0,28,7,0.0
0,29,4,0.0
0,30,4,0.0
0,31,5,2542564.0
0,32,1,4708107.0
0,33,4,0.0
0,34,1,2320375.0
0,35,5,0.0
0,36,7,4751299.0
0,37,5,0.0
0,38,0,0.0
0,39,1,0.0
0,40,5,0.0
0,41,0,4514494.0
0,42,5,2360251.0
0,43,3,94145484.0
0,44,5,4741830.0
0,45,0,0.0
0,46,3,0.0
0,47,1,0.0
0,48,2,0.0
0,49,5,2394548.0
0,50,2,0.0
0,51,0,0.0
0,52,6,0.0
0,53,7,0.0
0,54,6,4572933.0
0,55,7,2342004.0
0,56,6,0.0
0,57,5,0.0
0,58,5,0.0
0,59,6,92014073.0
0,60,7,4572495.0
0,61,2,7301081.0
0,62,7,0.0
0,63,2,88732377.0
0,64,0,0.0
0,65,0,0.0
0,66,5,0.0
0,67,3,0.0
0,68,0,4492757.0
0,69,1,9450390.0
0,70,1,2239703.0
0,71,1,4636778.0
0,72,3,0.0
0,73,3,2168856.0
0,74,0,4863530.0
0,75,5,90977980.0
0,76,3,4641237.0
0,77,5,88240132.0
0,78,2,0.0
0,79,5,0.0
0,80,7,86293188.0
0,81,0,0.0
0,82,3,0.0
0,83,2,2202278.0
0,84,4,6867539.0
0,85,7,0.0
0,86,6,7080237.0
0,87,2,2283795.0
0,88,3,4667675.0
0,89,4,91433781.0
