epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,1288065161.0,499313.0,278691.0,2355179,1195,234,0.00021636405396108682,0.1882964037604267,0.08824744486404099,0.07752332505824197,0.5644228477759236,0.20929368368732715,0,0.242252094931482,234,0.1882964037604267,216833594.0,48922.0,126,0.0044188957738161535,35625568.0,1736.0,88,0.004348711106884015,105231022.0,21186.0,80,0.1763255526540826,216791627.0,45461.0,125,0.0036525350160032145,104510250.0,28617.0,67,0.17045851194582318,210263618.0,61402.0,125,0.046315990166311306,193549559.0,29325.0,124,0.11216295848898078,205259923.0,42042.0,125
11,1301433125.0,566939.0,238886.0,2374174,1289,202,0.0001835561085783797,0.21622055977259977,0.09638946578435215,0.08529700570024043,0.5608260316319346,0.21506956043169723,0,0.25637416673911634,202,0.21622055977259977,220430888.0,47295.0,122,0.0024112836239961553,35167667.0,4750.0,87,0.006037747904796198,105226115.0,16987.0,97,0.1911135100871997,220871234.0,43240.0,126,0.006293730510173396,103880097.0,19230.0,81,0.17684338174898379,219062341.0,37490.0,125,0.04688517240445942,190896592.0,22526.0,124,0.12531034022260878,205898191.0,47368.0,125
12,1282928724.0,524925.0,310503.0,2353498,1219,262,0.00024202669578703734,0.22784018098534037,0.10238499478454989,0.09094993399703605,0.5589401874739321,0.2134084050253131,0,0.26142271828631447,262,0.22784018098534037,215380065.0,45577.0,125,0.006787675782061545,34487623.0,3407.0,67,0.004969514223285024,102353837.0,27744.0,103,0.20433343493575276,217455144.0,58372.0,123,0.0034912368591066565,102001508.0,24908.0,68,0.19114325623815612,213967994.0,54618.0,129,0.04865295697228824,194744137.0,45882.0,124,0.13186170228040836,202538416.0,49995.0,124
13,1307516048.0,533427.0,257562.0,2380182,1279,211,0.00019698572755108548,0.24092413893390022,0.10969261885226475,0.09823765194909626,0.5549237331350411,0.21091588162289243,0,0.274121508620168,211,0.24092413893390022,218817108.0,45438.0,125,0.0037227189841108764,35934896.0,4356.0,91,0.006620653596981281,104994736.0,16313.0,93,0.22205680542488931,219059945.0,58260.0,124,0.0039313011627805945,106626637.0,15755.0,82,0.20681656057442555,219112775.0,34304.0,126,0.04903810671698846,192952681.0,43347.0,125,0.14443066542404168,210017270.0,39789.0,128
14,1297118852.0,514544.0,329105.0,2366912,1252,272,0.0002537200037549065,0.2576966190048698,0.11729743027676255,0.10559688932350443,0.5523494167896368,0.21167695067159498,0,0.2801609052285462,272,0.2576966190048698,214954620.0,55140.0,124,0.0033005200519024753,34630983.0,5393.0,72,0.004239045436323023,107136932.0,29459.0,100,0.23951434696296917,214438720.0,47198.0,123,0.0034888821573382136,101810957.0,24382.0,64,0.22293561283013014,219173981.0,58247.0,123,0.05727568220003567,193918009.0,56925.0,121,0.14992873357053194,211054650.0,52361.0,126
15,1298918107.0,547653.0,293708.0,2370325,1289,245,0.0002261174114189171,0.2814201611144361,0.1255122992561778,0.11247809331130172,0.5546039964912401,0.21223418042243059,0,0.2941674634791136,245,0.2814201611144361,217933310.0,52885.0,126,0.0025620283329263202,35532238.0,5102.0,67,0.005432572381848867,102051772.0,22514.0,100,0.24893294103250868,217366556.0,45567.0,126,0.0037446120368644837,105531234.0,27719.0,67,0.23709131015327942,218019801.0,55996.0,124,0.06493560662065413,194705617.0,35770.0,122,0.15997916237690446,207777579.0,48155.0,123
16,1286726827.0,533137.0,314126.0,2355909,1275,268,0.00024412796361165788,0.29286118815792117,0.13200895912909544,0.11659973517524104,0.5617446309398236,0.21305370660077183,0,0.30362471097442134,268,0.29286118815792117,217924292.0,38246.0,126,0.007205654538913008,34762990.0,5336.0,68,0.0030876549654137516,102359685.0,32339.0,105,0.2606604835307928,217875364.0,49505.0,126,0.006293969985979929,103757500.0,19257.0,92,0.24541033829455614,210324218.0,61695.0,127,0.06926973545327775,192997541.0,49836.0,124,0.171282648105909,206725237.0,57912.0,124
17,1294349928.0,549156.0,322949.0,2364821,1303,264,0.00024950671608489476,0.310662342744368,0.14065330906526985,0.12534640332276634,0.5573548950389549,0.2124012960504449,0,0.3145938636196598,264,0.310662342744368,219342641.0,50654.0,124,0.004170371750729499,34704636.0,4776.0,74,0.0069696899423018705,103803712.0,27768.0,84,0.27805020962154126,215719734.0,51998.0,124,0.004375977060285655,104615654.0,26767.0,85,0.2662375292980837,216538613.0,53809.0,126,0.06942060012659178,194852450.0,52022.0,123,0.18533975197825706,204772488.0,55155.0,127
18,1294998232.0,501093.0,272833.0,2364313,1191,291,0.00021068214091584953,0.30057988569405386,0.14476938285310503,0.12812530400442157,0.5607648114977551,0.21231793890202,0,0.31552108663135514,187,0.30057988569405386,214624596.0,81240.0,125,0.003548380560841883,35016955.0,2294.0,80,0.004438509308925516,103472052.0,9101.0,98,0.29206645597941655,218393514.0,53767.0,128,0.0032998989723376088,103330123.0,15963.0,76,0.2788907969343693,217509822.0,35760.0,125,0.07595582315666853,195516183.0,30077.0,125,0.19937531221822682,207134987.0,44631.0,125
19,1284919250.0,514558.0,310773.0,2351573,1173,364,0.00024186189132118614,0.31193243912669555,0.15092314051080677,0.13371343512453346,0.5602418071319373,0.21491342743911734,0,0.3213170883996421,185,0.3000891414144453,216406702.0,101982.0,126,0.004608845992805684,34120962.0,7961.0,62,0.004210338267682887,102122929.0,22217.0,80,0.31193243912669555,219019822.0,50827.0,125,0.004298308477223556,102164980.0,20247.0,72,0.29496711864052577,213687921.0,40204.0,127,0.0744526181892628,194252221.0,33949.0,126,0.21282631397781254,203143713.0,33386.0,125
