config,sl_drop_ratio,sl_mean_Pmax,sl_p99_Pmax,sl_mean_fairness,sl_mean_imbalance,sl_total_reassign,sl_rate_err_max,sl_mean_lat_p99_us,sl_mean_lat_p999_us,sl_worst_lat_p99_us,sl_worst_lat_max_us,sf_drop_ratio,sf_mean_Pmax,sf_mean_fairness,sf_mean_imbalance,sf_handoffs_committed,sf_rate_err_max,sf_mean_lat_p99_us,sf_mean_lat_p999_us,sf_worst_lat_p99_us,sf_worst_lat_max_us
proposed,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.13677675448235282,0.45458436239684225,0.9333384517122107,0.138777818114563,49,0.008106967801967907,4260.215123547573,4264.079529980274,4317.276162603497,4321.640066675902
static,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1979527130693107,0.5209406696573792,0.6535803064736037,0.2146858220726134,0,0.008106967801967907,4262.39883144243,4265.460496233772,4331.998055291014,4334.301809216082
