config,sl_drop_ratio,sl_mean_Pmax,sl_p99_Pmax,sl_mean_fairness,sl_mean_imbalance,sl_total_reassign,sl_rate_err_max,sf_drop_ratio,sf_mean_Pmax,sf_mean_fairness,sf_mean_imbalance,sf_handoffs_committed,sf_rate_err_max
pred_greedy,0.14240138660257018,0.45089373813849754,0.5534487020163144,0.6585889796117759,0.12952619752409517,1,0.014737700210491908,0.21271626750476916,0.5152624120563216,0.4886839424451331,0.22155617198850444,0,0.0029687761758804177
pred_oneshot,0.14240138660257018,0.45089373813849754,0.5534487020163144,0.6585889796117759,0.12952619752409517,1,0.014737700210491908,0.21271626750476916,0.5152624120563216,0.4886839424451331,0.22155617198850444,0,0.0029687761758804177
pred_qp_greedy,0.09875734794490289,0.4060398838579048,0.514011920077054,0.9278193097487802,0.09988814005727847,22,0.014737700210491908,0.2194022870255298,0.5181100964505371,0.5956306345966359,0.20374396515260235,0,0.0029687761758804177
pred_qp_oneshot,0.10300200346555273,0.397307074359858,0.5075992443083424,0.9314172912964452,0.1411919902036476,995,0.014737700210491908,0.21313424263561329,0.5084040281703248,0.5204568258705214,0.21109134671139917,0,0.0029687761758804177
qp_greedy,0.10224506830973633,0.40898562848384973,0.5501488739576844,0.915102673943642,0.1154807486769609,31,0.014737700210491908,0.22497938000245163,0.5116227668066304,0.4981096644217997,0.23415596096818586,0,0.0029687761758804177
qp_oneshot,0.10445974227260545,0.3982136401474295,0.5099459112530241,0.9357379997772439,0.1543530729493117,1677,0.014737700210491908,0.2045501441582497,0.5157064416096131,0.5762929027545463,0.2221683521028301,0,0.0029687761758804177
static,0.14741683985328652,0.4578249340065865,0.5622705311943104,0.6449677905921096,0.13591201074794695,0,0.014737700210491908,0.21302847148517495,0.5158075813660757,0.4886846723966328,0.22155617198850444,0,0.0029687761758804177
