epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
10,715025.0,494385.0,220640.0,4085,2775,1310,0.30857662319499274,0.5944716329036566,0.34475456835987656,0.21434260692954352,0.7212185623015823,0.159998776266564,0,0.3354353135712988,0,0.5944716329036566,133781.0,78907.0,337,0.44276614001173187,110423.0,32791.0,335,0.2056640625,61913.0,0.0,335,0.5570439903391886,99225.0,50991.0,332,0.041748046875,75094.0,0.0,331,0.2845703125,54208.0,0.0,338,0.056982421874999994,74935.0,0.0,332,0.5747899398744355,105446.0,57951.0,334
11,727070.0,521832.0,205238.0,4170,3011,1159,0.2822809358108569,0.6416476603039971,0.34336288822890904,0.20427738478762125,0.7385832877705065,0.15576113716698514,0,0.390866250064599,0,0.5565122154133235,120409.0,61761.0,339,0.4406367461423535,116935.0,32000.0,328,0.24155273437499997,74784.0,0.0,332,0.45254007772159854,72625.0,22199.0,333,0.03251953125,78586.0,0.0,335,0.30136718749999997,53559.0,0.0,332,0.080126953125,79514.0,0.0,329,0.6416476603039971,130658.0,89278.0,336
12,670058.0,490304.0,179754.0,3693,2795,898,0.2682663291834434,0.545233660526547,0.3424576391549355,0.195061534414768,0.7550381506815258,0.1752609475597633,0,0.31360070310079713,0,0.5351455138727748,125207.0,59544.0,334,0.545233660526547,118422.0,58776.0,335,0.281884765625,80952.0,0.0,333,0.48076689158420394,80291.0,29122.0,328,0.01318359375,58627.0,0.0,336,0.289453125,38773.0,0.0,335,0.087255859375,89694.0,0.0,339,0.5067377035059583,78092.0,32312.0,333
13,662942.0,479684.0,183258.0,4000,3009,991,0.2764314223567065,0.5860439453048677,0.35681524193659253,0.19086948880217403,0.7775172840185453,0.15539142187400978,0,0.3139255080138821,0,0.4926222872684183,110437.0,42157.0,331,0.5860439453048677,127989.0,72721.0,333,0.269775390625,59206.0,0.0,334,0.5527374213221459,83092.0,41936.0,339,0.0283203125,81536.0,0.0,335,0.37909822590225,53034.0,7644.0,330,0.111669921875,77708.0,0.0,330,0.43425443069505815,69940.0,18800.0,333
14,757478.0,442056.0,315422.0,4541,2730,1811,0.41641077364623075,0.6613595770161294,0.40076362310824865,0.2306700364938639,0.7511522351423711,0.2010444527761861,0,0.3958939450067919,0,0.5675624882774182,125459.0,67173.0,338,0.6511070523058762,150344.0,105882.0,333,0.2890625,69840.0,0.0,334,0.556329974255021,91987.0,47185.0,335,0.043505859375000004,86602.0,0.0,331,0.3538319242615442,45018.0,4860.0,331,0.083349609375,63354.0,0.0,333,0.6613595770161294,124874.0,90322.0,332
15,781823.0,479061.0,302762.0,4602,2614,1988,0.3872513343813109,0.6460060283995959,0.3885441360695404,0.2248437998583201,0.7491345115303085,0.1889112049658297,0,0.42764457576914355,0,0.5958600104948906,142882.0,84588.0,340,0.4700329321758613,117296.0,39728.0,335,0.286376953125,66146.0,0.0,334,0.6460060283995959,139761.0,96689.0,331,0.030615234374999998,76267.0,0.0,335,0.39106852596327035,51024.0,9398.0,331,0.073974609375,73397.0,0.0,336,0.6144187946477049,115050.0,72359.0,336
16,695874.0,492893.0,202981.0,3812,2710,1102,0.29169217415796495,0.5507954536020041,0.36759411912059814,0.19485133497253407,0.7806545787624989,0.1440918183464246,0,0.3263183342450532,0,0.5384363971171993,123593.0,58914.0,336,0.4672818302860639,115568.0,38868.0,332,0.27275390625,56728.0,0.0,338,0.5507954536020041,82808.0,41560.0,339,0.033544921875,77177.0,0.0,329,0.4342626354872226,60234.0,16092.0,338,0.09619140624999999,83763.0,0.0,335,0.5474864020972952,96003.0,47547.0,334
17,715291.0,478160.0,237131.0,4047,2707,1340,0.33151682322299547,0.6372380571684066,0.3697499706020311,0.20669846087054272,0.761901350200743,0.19633530269498678,0,0.37380761611306484,0,0.6372380571684066,147599.0,99552.0,339,0.4941353541304627,119410.0,46515.0,332,0.29204101562499996,71065.0,0.0,331,0.36196835155993656,60980.0,8308.0,336,0.025634765625,69365.0,0.0,334,0.444694342574081,49589.0,14612.0,333,0.10219726562499999,83707.0,0.0,335,0.6000906125083618,113576.0,68144.0,330
18,683699.0,421350.0,262349.0,4175,2559,1616,0.3837200288431014,0.6037458041903654,0.4018467549041467,0.2220681517051106,0.7660559042398621,0.14123046106546866,0,0.35883498072139886,0,0.5875710117460425,115205.0,66563.0,327,0.48364917044626243,104288.0,38702.0,331,0.2689453125,52504.0,0.0,330,0.6037458041903654,106533.0,63844.0,337,0.010693359375,63576.0,0.0,331,0.5489144666058223,73484.0,36360.0,331,0.114794921875,72177.0,0.0,330,0.5964599924946806,95932.0,56880.0,331
19,707376.0,473781.0,233595.0,4072,2689,1383,0.3302274886340499,0.6704188899894529,0.37436433415606707,0.21317705247978772,0.7551398215765751,0.18147774309560938,0,0.4033844817543483,0,0.5324406957714296,118703.0,55206.0,328,0.4385616013304736,116333.0,32000.0,336,0.3487683330710933,84707.0,4796.0,331,0.5639122648712911,87899.0,46421.0,333,0.0,63092.0,0.0,229,0.3268480444647963,36304.0,2428.0,333,0.11396484375,75150.0,0.0,330,0.6704188899894529,125188.0,92744.0,332
20,697391.0,462550.0,234841.0,3878,2567,1311,0.3367422292515958,0.6019586791655143,0.37923560381215726,0.20211945217985494,0.7787845937069465,0.17107135738774937,0,0.37927743017524945,0,0.6019586791655143,148502.0,90118.0,338,0.5182244309093313,110381.0,48208.0,340,0.32803118413727744,60851.0,3768.0,331,0.5271169446130303,78676.0,36060.0,329,0.00439453125,71734.0,0.0,255,0.4337172105513508,58531.0,15939.0,333,0.109716796875,73160.0,0.0,336,0.5107250529957541,95556.0,40748.0,336
21,756756.0,476699.0,280057.0,4583,2873,1710,0.3700756915042624,0.6659086962859666,0.4111420073569646,0.20290584275336065,0.8041431487402151,0.13169370312227446,0,0.37393137996665954,0,0.4781081504855267,126383.0,45464.0,337,0.6659086962859666,146793.0,107397.0,330,0.4425335619802192,70613.0,21681.0,334,0.4778562041592931,81396.0,28731.0,331,0.03828125,87528.0,0.0,328,0.5678080022724742,84118.0,44636.0,337,0.121923828125,77621.0,0.0,340,0.4967163655472372,82304.0,32148.0,339
22,739415.0,430282.0,309133.0,4422,2590,1832,0.4180778047510526,0.6013319980959086,0.4327592610083647,0.21742322331103894,0.7984559132925771,0.1496252104704392,0,0.36470319801070566,0,0.5940108293158235,150001.0,88072.0,332,0.5055173471226326,108224.0,44896.0,331,0.4917058425927543,91894.0,33932.0,338,0.595663757256564,90220.0,53376.0,334,0.0005859375,57699.0,0.0,284,0.5405923605582342,68377.0,32922.0,333,0.132666015625,80157.0,0.0,331,0.6013319980959086,92843.0,55935.0,333
23,688053.0,415901.0,272152.0,4116,2526,1590,0.3955392971180993,0.6085265366294118,0.4191696654432989,0.21362238024404048,0.7938240290023559,0.13786565133790551,0,0.3393607745882893,0,0.6085265366294118,119948.0,73944.0,333,0.4860561205970797,116723.0,43947.0,332,0.5015791004061034,79382.0,31988.0,331,0.550162063585407,85394.0,42708.0,335,0.008154296875,69547.0,0.0,287,0.5051383121361426,64071.0,26437.0,336,0.10810546875,60036.0,0.0,334,0.5856354245672467,92952.0,53128.0,337
24,673060.0,410052.0,263008.0,3843,2424,1419,0.3907645677948468,0.6109716851883062,0.3972144679178694,0.21526083283940484,0.7729864434326511,0.19993499836567286,0,0.36022600381426945,0,0.6109716851883062,135811.0,84984.0,330,0.4954318427187161,116360.0,45140.0,342,0.5996103363412602,97520.0,58436.0,338,0.44293498475384985,67886.0,20043.0,334,0.0005859375,55246.0,0.0,235,0.37759585111661287,43961.0,7183.0,336,0.09697265625,63231.0,0.0,330,0.5536124494742101,93045.0,47222.0,336
25,722893.0,469308.0,253585.0,4284,2655,1629,0.3507918875960891,0.6366741574882977,0.38914882298759806,0.2107858547138268,0.773159506195116,0.14760984682380363,0,0.40517243083893184,0,0.5283611541289148,126159.0,58211.0,330,0.51516000875785,115896.0,50144.0,335,0.47975102318387736,78550.0,28446.0,328,0.3338465226905331,67042.0,4152.0,336,0.010107421875000001,76119.0,0.0,308,0.5164192020263116,65476.0,28916.0,330,0.09287109375,69287.0,0.0,332,0.6366741574882977,124364.0,83716.0,335
26,749671.0,482674.0,266997.0,4313,2716,1597,0.3561522321124862,0.59127812943032,0.3965754780965451,0.20285833153099025,0.79260783449288,0.16240507502624468,0,0.3568090447058113,0,0.5696236685167276,140395.0,75406.0,333,0.5267355519382069,140181.0,63349.0,332,0.41590544240851884,71833.0,16806.0,335,0.4723020732420148,85805.0,29552.0,333,0.01337890625,66858.0,0.0,248,0.4780577873615728,67004.0,23534.0,339,0.105322265625,77433.0,0.0,332,0.59127812943032,100162.0,58350.0,332
27,712684.0,486943.0,225741.0,3942,2736,1206,0.316747674986389,0.6050269424251103,0.3823676316517741,0.203480828502907,0.7793051104227255,0.1522273546199997,0,0.3518302340497156,0,0.41043683400130343,118830.0,26200.0,329,0.548799091278211,126471.0,63117.0,330,0.3563333243854331,69485.0,7754.0,336,0.6031444549963036,94770.0,57458.0,333,0.033984375,83109.0,0.0,329,0.4049757967528318,52183.0,10961.0,339,0.096240234375,69120.0,0.0,331,0.6050269424251103,98716.0,60251.0,337
28,675770.0,435705.0,240065.0,3592,2295,1297,0.3552466075735822,0.5847814638350746,0.39511882932489767,0.20932133980525836,0.7808509067624229,0.15048870177723161,0,0.33713404361651644,0,0.5306968301455491,118996.0,54904.0,332,0.46496322599107404,120286.0,39803.0,338,0.4243433272621136,65297.0,18668.0,330,0.5572389679422417,93701.0,48262.0,336,0.012158203125,63420.0,0.0,330,0.5133799444231284,63212.0,26964.0,334,0.07338867187499999,60470.0,0.0,332,0.5847814638350746,90388.0,51464.0,329
29,677669.0,438689.0,238980.0,4095,2540,1555,0.3526500400638064,0.6274967803397815,0.37623205279331834,0.21888182762599664,0.7471270874424939,0.171886828230301,0,0.38939589925096835,0,0.5457444669974493,120405.0,59213.0,338,0.5532338868588802,121955.0,61671.0,330,0.29262695312500003,68106.0,0.0,336,0.45897072611656725,77559.0,24841.0,338,0.004833984375,60376.0,0.0,310,0.4670375151588686,56382.0,19001.0,332,0.059912109374999994,59520.0,0.0,334,0.6274967803397815,113366.0,74254.0,331
